sample,sensor,ax,ay,az,w,i,j,k
0,0,0.03,-0.01,0.03,0.12439,0.788513,-0.600037,-0.0526733
1,0,0.05,-0.03,-0.01,0.12384,0.788696,-0.599915,-0.0521851
2,0,0.12,0.05,0,0.122375,0.78949,-0.599243,-0.0511475
3,0,0.16,0.04,0.05,0.12085,0.790344,-0.598572,-0.0501099
4,0,0,-0.1,0.02,0.117554,0.791931,-0.597229,-0.0481567
5,0,0.03,0.04,-0.38,0.114929,0.79364,-0.595581,-0.0472412
6,0,0.07,0.11,-0.12,0.112793,0.795532,-0.593445,-0.046814
7,0,0.1,0.17,0.43,0.110535,0.797424,-0.591309,-0.0466309
8,0,-0.22,-0.29,0.36,0.108276,0.7995,-0.588928,-0.0473022
9,0,0.61,0.22,-0.39,0.108521,0.800659,-0.587158,-0.0495605
10,0,0.47,0.42,0.25,0.107483,0.801392,-0.586365,-0.0490723
11,0,-0.15,-0.39,0,0.106384,0.80188,-0.585938,-0.0483398
12,0,-0.06,-0.02,0.11,0.105103,0.802795,-0.5849,-0.0480957
13,0,-0.19,-0.05,0.18,0.104675,0.803284,-0.58429,-0.0482178
14,0,0.28,0.06,-0.14,0.104797,0.803955,-0.583313,-0.0496216
15,0,0.06,0.07,0.15,0.103699,0.804504,-0.582703,-0.0492554
16,0,-0.05,-0.04,0.15,0.102173,0.805481,-0.581726,-0.0493164
17,0,0.04,0.05,0.07,0.101501,0.806274,-0.580627,-0.0501099
18,0,0.08,0.03,0.01,0.100891,0.806702,-0.580078,-0.0506592
19,0,0.19,0.01,0.02,0.100464,0.807068,-0.57959,-0.0512695
20,0,0,-0.09,-0.08,0.0993042,0.807678,-0.578979,-0.0512695
21,0,0,-0.04,-0.16,0.0988159,0.808105,-0.57843,-0.0513916
22,0,0.06,0.08,0.14,0.0986328,0.808716,-0.577576,-0.0515137
23,0,0.02,-0.01,0,0.0975952,0.809265,-0.577026,-0.0512695
24,0,0.09,0.01,0.02,0.0976562,0.809509,-0.576721,-0.0513306
25,0,0.05,0.03,0.22,0.09729,0.80957,-0.576599,-0.0512085
26,0,-0.07,-0.06,0.19,0.0968628,0.809692,-0.576538,-0.0512695
27,0,0.02,0.09,0.04,0.0965576,0.809692,-0.576477,-0.0516968
28,0,-0.01,0.05,0.34,0.0969849,0.809326,-0.576965,-0.052002
29,0,-1.46,2.14,2.82,0.100586,0.808044,-0.578125,-0.0518799
30,0,-1.45,-0.19,-1.34,0.104858,0.80365,-0.583557,-0.0507812
31,0,5.49,0.26,-0.98,0.11676,0.797913,-0.588196,-0.0612183
32,0,8.75,2.54,8.56,0.137024,0.795776,-0.586731,-0.06073
33,0,-3.1,-1.24,-2.24,0.128418,0.790649,-0.596497,-0.050293
34,0,-4.78,2.05,0.7,0.124817,0.78894,-0.599365,-0.0526123
35,0,1.54,-0.87,-0.8,0.132385,0.787231,-0.599731,-0.0554199
36,0,0.67,0.46,-0.12,0.132935,0.787537,-0.599243,-0.0549316
37,0,-1.61,-0.17,0.31,0.126892,0.788269,-0.599976,-0.0500488
38,0,-0.71,0.02,0.5,0.127319,0.789124,-0.598816,-0.0501709
39,0,0.86,0.22,0.05,0.131042,0.790039,-0.596558,-0.0530396
40,0,0.52,0.06,0.25,0.131042,0.790344,-0.59613,-0.0532837
41,0,-0.31,-0.04,0.25,0.128967,0.790222,-0.596741,-0.0529175
42,0,-0.03,0.03,-0.08,0.128601,0.790161,-0.596863,-0.0539551
43,0,0.48,-0.01,-0.19,0.129456,0.790039,-0.596619,-0.0557861
44,0,0.25,0.06,0.17,0.129272,0.7901,-0.596619,-0.0556641
45,0,-0.03,-0.15,-0.07,0.128784,0.790161,-0.59668,-0.0551758
46,0,-0.01,0.02,0.04,0.128784,0.790222,-0.596619,-0.0549927
47,0,0.1,-0.06,-0.14,0.128967,0.790283,-0.596497,-0.0552979
48,0,0.23,0,0.1,0.129272,0.790344,-0.596252,-0.0556641
49,0,0.26,0.05,-0.09,0.129333,0.790466,-0.59613,-0.0559082
50,0,0.06,0.03,0.14,0.129395,0.790466,-0.596069,-0.0557251
51,0,-0.02,-0.05,-0.07,0.129517,0.790527,-0.596008,-0.055481
52,0,0,0.06,0.2,0.129822,0.790649,-0.595764,-0.0552368
53,0,-0.01,0.07,-0.07,0.130005,0.79071,-0.595642,-0.0552368
54,0,0.06,0.09,0.19,0.13031,0.790894,-0.595398,-0.0550537
55,0,0.05,0.03,-0.05,0.130249,0.790894,-0.595337,-0.0551758
56,0,0.06,0.09,0.13,0.130066,0.791016,-0.595276,-0.0550537
57,0,0.04,0.01,0,0.129944,0.791077,-0.595215,-0.0551147
58,0,0.03,0,0.06,0.129944,0.791138,-0.595154,-0.0551147
59,0,0.01,-0.04,-0.24,0.129944,0.791138,-0.595093,-0.0551147
60,0,0.08,0.12,0.17,0.130432,0.791016,-0.595093,-0.055481
61,0,0.14,0.03,0.23,0.130432,0.791138,-0.595032,-0.055542
62,0,0.03,-0.02,0.05,0.130127,0.791199,-0.594971,-0.0552368
63,0,-0.06,0.02,0.02,0.130005,0.791199,-0.595032,-0.0549927
0,1,-0.34,0.19,-0.08,0.298157,0.523376,-0.774292,-0.194153
1,1,-0.05,0.54,-0.26,0.296265,0.525879,-0.772888,-0.195618
2,1,-0.3,0.47,0.1,0.294922,0.526855,-0.772583,-0.196289
3,1,0.51,-0.53,0.39,0.293518,0.525879,-0.773438,-0.197815
4,1,0.12,1.09,-0.18,0.292297,0.524963,-0.77417,-0.199158
5,1,1.16,-0.74,-0.04,0.291565,0.526245,-0.773621,-0.198914
6,1,0.14,0.45,-0.01,0.292297,0.530457,-0.770508,-0.198669
7,1,0.61,0.03,-0.03,0.29303,0.532715,-0.768555,-0.199219
8,1,-0.12,-0.29,-0.11,0.294067,0.537659,-0.764954,-0.198242
9,1,-0.07,-0.01,0,0.295349,0.541748,-0.761658,-0.197937
10,1,-0.11,-0.26,0.21,0.29718,0.550537,-0.754822,-0.196899
11,1,0.17,-0.18,0.17,0.298584,0.558044,-0.74884,-0.196838
12,1,-0.26,0.07,0.15,0.298096,0.56842,-0.741821,-0.194336
13,1,-0.12,0.06,0.09,0.298157,0.573792,-0.737671,-0.194092
14,1,0.05,-0.06,0.07,0.298767,0.580933,-0.731384,-0.195801
15,1,0.08,-0.1,0.14,0.300049,0.588135,-0.724609,-0.197388
16,1,0.14,-0.02,0.05,0.301208,0.592529,-0.720398,-0.19812
17,1,-0.12,0,-0.05,0.30188,0.596741,-0.716492,-0.198608
18,1,-0.15,-0.07,-0.07,0.302979,0.602905,-0.710754,-0.198792
19,1,0.25,-0.09,0.32,0.304565,0.605957,-0.70752,-0.19873
20,1,0.22,-0.11,0.38,0.305603,0.60968,-0.704041,-0.198242
21,1,0,0.05,0.22,0.306274,0.611572,-0.702271,-0.19751
22,1,0.01,0.05,0.12,0.30481,0.614197,-0.701233,-0.19519
23,1,0.17,-0.1,0.22,0.305298,0.615295,-0.700012,-0.195557
24,1,-0.13,0,0.25,0.305481,0.616211,-0.699097,-0.195496
25,1,-0.03,-0.14,0.26,0.303528,0.618225,-0.698853,-0.193176
26,1,0.05,0.05,0.1,0.304016,0.619019,-0.697388,-0.195129
27,1,0.04,-0.26,0.34,0.302368,0.620117,-0.697266,-0.194458
28,1,1.09,-1.59,4.68,0.299438,0.618286,-0.699829,-0.19574
29,1,-1.64,-1.63,2.72,0.290283,0.591248,-0.725159,-0.200684
30,1,0.99,1.57,-8.62,0.288147,0.566467,-0.74231,-0.212402
31,1,14.73,4.23,3.73,0.295959,0.544067,-0.754028,-0.21875
32,1,-11.39,-4.36,-1.13,0.302185,0.517944,-0.775513,-0.19751
33,1,2.5,2,1.32,0.298706,0.532227,-0.770752,-0.183105
34,1,-0.76,-1.18,-0.12,0.29657,0.536194,-0.766968,-0.190552
35,1,-1.52,2.2,-0.05,0.297424,0.539551,-0.764832,-0.188293
36,1,-0.16,0.72,-0.08,0.301147,0.539307,-0.764221,-0.185608
37,1,-0.74,-0.18,0.26,0.298462,0.540161,-0.765137,-0.183594
38,1,-0.28,-0.45,0.36,0.297668,0.541321,-0.764709,-0.183289
39,1,0.14,-0.05,0.68,0.300293,0.541992,-0.762939,-0.184448
40,1,0.38,-0.21,0.6,0.301453,0.541748,-0.762451,-0.185242
41,1,-0.17,-0.16,0.2,0.300293,0.541077,-0.763306,-0.185364
42,1,0.05,-0.01,0.1,0.299377,0.541199,-0.763184,-0.187073
43,1,0.25,0.02,-0.04,0.2995,0.540466,-0.763367,-0.188293
44,1,0.22,-0.05,-0.09,0.299683,0.539246,-0.764038,-0.188965
45,1,-0.05,-0.09,-0.07,0.299316,0.538147,-0.764832,-0.18927
46,1,-0.07,-0.02,-0.02,0.299194,0.538208,-0.764832,-0.189209
47,1,0.02,0,0.1,0.2995,0.538269,-0.764587,-0.189575
48,1,0.06,-0.12,0.04,0.299866,0.538086,-0.764465,-0.190063
49,1,0.2,0.02,0.11,0.300171,0.537781,-0.764465,-0.190491
50,1,0.04,-0.11,0.11,0.300171,0.537415,-0.764648,-0.190674
51,1,-0.01,-0.03,0.1,0.300598,0.537109,-0.764587,-0.19104
52,1,-0.07,-0.15,0.16,0.300964,0.537415,-0.764282,-0.191101
53,1,-0.1,-0.02,0.16,0.301636,0.537842,-0.76355,-0.19165
54,1,-0.03,-0.16,0.23,0.301819,0.537903,-0.763428,-0.191772
55,1,0.07,-0.04,0.15,0.302185,0.538025,-0.763062,-0.192078
56,1,0,-0.11,0.15,0.302185,0.538086,-0.763,-0.192261
57,1,0.14,-0.19,0.08,0.302246,0.538452,-0.762634,-0.192627
58,1,0.08,-0.21,0.1,0.301758,0.538879,-0.762512,-0.192871
59,1,-0.03,0.11,0.12,0.302124,0.539062,-0.762024,-0.19342
60,1,0.22,-0.14,0.1,0.302307,0.538757,-0.762146,-0.193665
61,1,0,-0.11,0.09,0.303894,0.537476,-0.761963,-0.195557
62,1,0.02,-0.11,0.06,0.303772,0.537598,-0.761841,-0.195679
63,1,-0.16,0.05,0.12,0.30365,0.537659,-0.761902,-0.195557
0,2,0.27,0.09,0.19,-0.337708,0.535767,-0.396423,0.664673
1,2,0.1,-0.05,0.17,-0.332581,0.53479,-0.404968,0.662842
2,2,-0.75,0.43,0.99,-0.331543,0.53302,-0.41449,0.658936
3,2,-3.27,0.6,-0.54,-0.32959,0.530457,-0.428162,0.653198
4,2,5.63,0.03,3.9,-0.303772,0.53595,-0.448608,0.647522
5,2,-3.41,-2.01,-4.43,-0.281494,0.52301,-0.468994,0.653687
6,2,1.26,-0.41,-0.21,-0.265564,0.518433,-0.485107,0.652222
7,2,0.19,-0.19,-0.09,-0.253906,0.513062,-0.496094,0.652832
8,2,1,-0.21,-0.27,-0.236755,0.506958,-0.51062,0.652893
9,2,0.13,0.05,0.15,-0.226135,0.501526,-0.516602,0.656067
10,2,0.17,0.34,0.15,-0.205933,0.494263,-0.526367,0.660461
11,2,0.52,-0.49,-0.54,-0.186401,0.488098,-0.533203,0.665344
12,2,-0.46,0.36,0.1,-0.17572,0.483154,-0.536926,0.668884
13,2,-0.06,0.23,0.34,-0.157532,0.47583,-0.544617,0.672424
14,2,0.06,-0.2,-0.4,-0.144348,0.471436,-0.550049,0.674072
15,2,0.04,-0.17,-0.43,-0.124451,0.465942,-0.556824,0.67627
16,2,0.24,-0.16,-0.14,-0.112732,0.463379,-0.560242,0.677307
17,2,-0.17,-0.16,-0.24,-0.0961914,0.45929,-0.565857,0.677917
18,2,-0.1,-0.13,-0.36,-0.0861206,0.457397,-0.569031,0.677917
19,2,0.44,-0.06,-0.11,-0.0730591,0.454468,-0.573486,0.677673
20,2,-0.27,-0.05,-0.22,-0.0665283,0.452576,-0.57605,0.677429
21,2,-0.78,0.02,0.04,-0.0611572,0.451111,-0.579041,0.676392
22,2,0.69,-0.04,-0.18,-0.0558472,0.450623,-0.582764,0.67395
23,2,0.43,-0.18,-0.22,-0.0540161,0.44989,-0.583984,0.673462
24,2,-0.61,0.02,-0.01,-0.0490723,0.446777,-0.588196,0.672302
25,2,-0.3,-0.16,-0.25,-0.0458984,0.445007,-0.591431,0.670898
26,2,0.58,-0.25,-0.7,-0.0418091,0.443909,-0.595825,0.667969
27,2,1.9,-1.6,-2.78,-0.0408936,0.444336,-0.596008,0.667603
28,2,-4.99,-2.53,-10.57,-0.0614624,0.447632,-0.575745,0.681396
29,2,-9.43,2.09,-8.51,-0.109924,0.456848,-0.546692,0.693054
30,2,4.38,-0.14,8.33,-0.193726,0.503601,-0.508789,0.670837
31,2,10.05,-2.11,11.65,-0.255249,0.536377,-0.475159,0.649109
32,2,-9.89,24.91,16.64,-0.316406,0.546631,-0.421082,0.651001
33,2,2.62,0.37,1.34,-0.327454,0.553162,-0.400208,0.653137
34,2,1.9,1.39,2.69,-0.335266,0.558105,-0.382874,0.655334
35,2,0.65,-0.53,-0.31,-0.338013,0.558105,-0.371338,0.660583
36,2,0.88,-0.33,-0.13,-0.339111,0.559692,-0.367493,0.660828
37,2,-0.45,0.55,0.22,-0.340881,0.560669,-0.366028,0.659912
38,2,0.14,0.14,-0.1,-0.338562,0.562622,-0.366394,0.659241
39,2,-0.43,-0.16,-0.61,-0.3349,0.564453,-0.367126,0.659119
40,2,-0.14,-0.11,-0.3,-0.33429,0.564819,-0.367859,0.658691
41,2,-0.18,0.03,-0.04,-0.334229,0.565247,-0.36853,0.65802
42,2,-0.14,0.27,0.35,-0.332703,0.566406,-0.369568,0.657227
43,2,0.13,0.08,0.27,-0.330872,0.567932,-0.371338,0.655762
44,2,0.5,-0.03,0.21,-0.32959,0.569031,-0.374634,0.653625
45,2,0.19,-0.01,0.17,-0.329102,0.56897,-0.376343,0.652954
46,2,0.08,0,0.11,-0.32843,0.568909,-0.377075,0.652893
47,2,0.08,0.02,0.11,-0.327576,0.569275,-0.37793,0.652527
48,2,0.34,-0.07,0.07,-0.326904,0.56958,-0.378723,0.6521
49,2,0.15,0,0.06,-0.326416,0.569702,-0.379578,0.651794
50,2,0.3,-0.01,0.1,-0.326416,0.56958,-0.380554,0.651306
51,2,0.52,-0.02,0.08,-0.325806,0.569458,-0.38147,0.651184
52,2,0.31,-0.04,0.04,-0.325256,0.569336,-0.381958,0.651306
53,2,-0.29,0.05,-0.19,-0.324158,0.569336,-0.382324,0.651611
54,2,-0.03,0,-0.03,-0.32489,0.568848,-0.381958,0.651855
55,2,0.26,-0.07,-0.11,-0.324158,0.569336,-0.382507,0.651489
56,2,0.03,0,0.03,-0.324463,0.569153,-0.381958,0.651794
57,2,0.24,0.03,0.07,-0.323486,0.569763,-0.382019,0.651733
58,2,0.16,-0.02,0.06,-0.324097,0.569397,-0.380798,0.652466
59,2,-0.19,0.17,0.08,-0.323547,0.569519,-0.380737,0.652649
60,2,0.27,-0.08,0.07,-0.32312,0.569946,-0.381653,0.652039
61,2,0,0.07,0.1,-0.323608,0.569702,-0.382385,0.651489
62,2,0.45,-0.1,-0.02,-0.323364,0.569885,-0.382874,0.651245
63,2,0,0.01,-0.08,-0.323303,0.569702,-0.382874,0.651428
0,3,-0.54,-0.26,-0.05,0.284851,0.935242,-0.179688,-0.10907
1,3,-0.85,1.08,1.35,0.281372,0.935364,-0.181946,-0.113037
2,3,-1.23,2.01,1.82,0.272888,0.933716,-0.195435,-0.124573
3,3,2.28,-2.3,-1.24,0.265991,0.929993,-0.212769,-0.138367
4,3,-1.81,0.95,0.4,0.258728,0.926392,-0.228943,-0.14978
5,3,1.18,0.13,-0.47,0.24939,0.921875,-0.244324,-0.167969
6,3,-0.16,0.11,-1,0.236389,0.916687,-0.263672,-0.185303
7,3,-0.41,0,-0.34,0.22644,0.910156,-0.280884,-0.203735
8,3,0.11,-0.62,-1.02,0.210693,0.899658,-0.303284,-0.232788
9,3,2.05,0.09,-0.81,0.202881,0.894409,-0.311401,-0.248779
10,3,-1.06,1.58,1.87,0.193359,0.890686,-0.31958,-0.259155
11,3,1.15,0.22,-0.68,0.16803,0.876831,-0.346924,-0.287354
12,3,-0.75,0.13,-0.37,0.139526,0.859619,-0.379639,-0.312134
13,3,-0.79,0.18,-0.36,0.121216,0.846436,-0.400818,-0.328857
14,3,0.27,-0.38,-1.57,0.0914307,0.823975,-0.429932,-0.357544
15,3,0.75,0.55,0.08,0.0644531,0.804871,-0.447754,-0.384094
16,3,0.48,-0.06,-0.24,0.0491333,0.795044,-0.456177,-0.396729
17,3,0.18,0.24,-0.1,0.0352173,0.786926,-0.463379,-0.405945
18,3,0.65,0.69,0.34,0.0162964,0.776245,-0.473145,-0.41626
19,3,0.49,-0.19,-0.11,0.00384521,0.769043,-0.481689,-0.420227
20,3,-0.08,-0.39,-0.18,-0.0109253,0.761353,-0.491699,-0.422363
21,3,0.12,0.15,0.04,-0.0143433,0.759644,-0.493896,-0.422913
22,3,-0.33,-0.18,-0.09,-0.0205078,0.756165,-0.498169,-0.423828
23,3,0,0.61,1.04,-0.0255737,0.752563,-0.501343,-0.426208
24,3,-0.33,-0.45,-0.48,-0.0362549,0.744873,-0.509338,-0.429504
25,3,-0.21,0.41,0.5,-0.0412598,0.740417,-0.513123,-0.43219
26,3,-0.22,0.3,0.71,-0.0466919,0.735535,-0.516541,-0.435852
27,3,1.12,-0.56,-0.22,-0.0568237,0.727051,-0.523438,-0.440674
28,3,13.25,-4.23,-5.58,-0.046814,0.730103,-0.521851,-0.43866
29,3,1.12,-3.33,-26.96,0.0297241,0.773193,-0.488831,-0.402893
30,3,-9.03,25.1,-31.08,0.24707,0.915344,-0.235046,-0.213989
31,3,2.05,34.77,29.39,0.292358,0.929016,-0.162048,-0.158569
32,3,-3.18,-14.52,-11.11,0.296387,0.933411,-0.174438,-0.102295
33,3,-4.65,2.62,-1.89,0.292603,0.939209,-0.162842,-0.0756836
34,3,1.43,-0.58,1.79,0.296021,0.938721,-0.159058,-0.0768433
35,3,-1.48,0.92,-0.04,0.2948,0.940186,-0.152283,-0.0769653
36,3,-0.38,0.47,0.15,0.293579,0.940552,-0.151245,-0.0795288
37,3,-0.32,-0.75,-0.61,0.29126,0.940796,-0.152039,-0.083374
38,3,-0.32,-0.09,0.12,0.291687,0.940796,-0.150452,-0.0849609
39,3,-0.19,0.91,0.51,0.293335,0.940552,-0.146973,-0.0876465
40,3,-0.08,0.75,0.45,0.293884,0.940186,-0.146973,-0.0900269
41,3,-0.46,-0.05,-0.13,0.29303,0.939819,-0.148743,-0.093689
42,3,0.22,-0.05,-0.07,0.29303,0.939514,-0.148804,-0.0965576
43,3,0.2,0.03,0.02,0.29364,0.938904,-0.149353,-0.0994873
44,3,-0.12,-0.36,-0.29,0.293823,0.938538,-0.15094,-0.100525
45,3,-0.16,-0.4,-0.24,0.29364,0.938232,-0.152466,-0.101196
46,3,-0.26,-0.22,-0.12,0.293579,0.938171,-0.152527,-0.101746
47,3,-0.06,-0.06,0.03,0.293762,0.93811,-0.152466,-0.102051
48,3,-0.05,0,0.07,0.294434,0.937744,-0.152527,-0.103149
49,3,0.1,0.3,0.17,0.294556,0.937683,-0.152649,-0.103455
50,3,0.07,0.04,0.04,0.294739,0.937378,-0.153687,-0.104065
51,3,-0.18,-0.04,-0.02,0.294922,0.937317,-0.153931,-0.103821
52,3,-0.16,0.01,0.02,0.294983,0.937317,-0.153748,-0.10376
53,3,-0.13,0.34,0.21,0.295105,0.937378,-0.153076,-0.103699
54,3,-0.09,0.25,0.17,0.295349,0.937317,-0.152954,-0.104187
55,3,-0.13,0.22,0.15,0.295715,0.937195,-0.152588,-0.104492
56,3,-0.19,-0.11,-0.03,0.295654,0.937195,-0.152588,-0.104736
57,3,-0.26,-0.26,-0.16,0.296204,0.937012,-0.152405,-0.105042
58,3,0,0.13,0.16,0.296021,0.937195,-0.151367,-0.105652
59,3,-0.03,-0.05,-0.01,0.295959,0.937195,-0.150879,-0.106201
