sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.45,-0.43,-1.11,0.542236,0.575989,-0.205933,-0.57605
1,0,-0.64,-0.7,-1.43,0.539307,0.582092,-0.215271,-0.569214
2,0,-0.76,-0.68,-1.24,0.536011,0.587585,-0.222473,-0.563843
3,0,-0.88,-0.52,-1.23,0.532776,0.594238,-0.233093,-0.555664
4,0,-0.24,-0.27,-1.22,0.531128,0.596802,-0.238098,-0.552307
5,0,0.86,-0.13,-1.17,0.529419,0.599487,-0.244263,-0.54834
6,0,1.82,-0.02,-1.5,0.52655,0.603821,-0.253174,-0.542297
7,0,1.07,-0.25,-1.73,0.513977,0.622009,-0.284729,-0.517517
8,0,-0.11,-0.2,-1.89,0.502014,0.637207,-0.306396,-0.497986
9,0,-1.49,-0.32,-2.12,0.488037,0.652954,-0.328186,-0.477234
10,0,-1.18,0.26,-1.98,0.47522,0.666138,-0.348083,-0.457458
11,0,-1.28,0.03,-1.9,0.456665,0.683899,-0.383301,-0.420593
12,0,-1.59,-0.43,-1.37,0.44635,0.692566,-0.395996,-0.405334
13,0,-1.74,1.01,-1.09,0.437012,0.69989,-0.406067,-0.392822
14,0,-1.2,-0.75,-0.99,0.428833,0.705322,-0.412842,-0.384888
15,0,-0.38,0.04,-1.05,0.422546,0.708496,-0.419678,-0.378601
16,0,-0.17,-0.35,-1,0.417786,0.710144,-0.424622,-0.375305
17,0,-0.39,-0.43,-1.36,0.415527,0.71051,-0.426697,-0.374817
18,0,0.43,-0.38,-1.54,0.414551,0.7099,-0.427551,-0.375977
19,0,0.53,-0.48,-1.45,0.415588,0.707703,-0.427856,-0.378601
20,0,0.36,-0.4,-1.38,0.414795,0.707275,-0.428894,-0.37915
21,0,0.19,-0.41,-1.39,0.413269,0.704102,-0.431946,-0.383301
22,0,0.66,-0.28,-1.5,0.41272,0.702271,-0.433411,-0.385559
23,0,1.16,0.93,-1.46,0.413879,0.701111,-0.43573,-0.383789
24,0,0.45,-0.3,-1.49,0.410339,0.703918,-0.44043,-0.376953
25,0,0.2,-0.4,-1.63,0.406677,0.707031,-0.444153,-0.370667
26,0,0.58,-0.57,-1.75,0.3974,0.715698,-0.452332,-0.353821
27,0,-0.08,-0.44,-1.59,0.390015,0.722229,-0.457397,-0.342163
28,0,-0.26,-0.19,-1.09,0.378235,0.732483,-0.464844,-0.322937
29,0,-2.4,-0.12,2.32,0.371399,0.738342,-0.468689,-0.31189
30,0,-8.75,0.49,7.72,0.371338,0.73822,-0.468323,-0.312683
31,0,-14.38,0.29,7.85,0.39447,0.71936,-0.454346,-0.347107
32,0,-16.09,-2.19,-1.11,0.442688,0.671875,-0.416992,-0.422729
33,0,-12.95,-9.67,-17.44,0.490295,0.608398,-0.354248,-0.513794
34,0,12.88,8.7,-27.54,0.5271,0.547607,-0.272949,-0.589722
35,0,31.6,7.47,-18.32,0.565552,0.491577,-0.205017,-0.6297
36,0,10.64,2.73,-3.99,0.585327,0.472778,-0.18573,-0.631958
37,0,-1.68,1.15,-0.14,0.585144,0.490234,-0.203308,-0.613159
38,0,-12.46,-1.23,1.57,0.58252,0.507385,-0.231995,-0.591064
39,0,-14.05,-0.74,1.82,0.578308,0.519958,-0.250061,-0.576782
40,0,-2.79,0.23,1.3,0.587036,0.511536,-0.241577,-0.579102
41,0,3.15,1.52,0.23,0.594604,0.502197,-0.229736,-0.584351
42,0,1.92,0.75,-0.06,0.595825,0.502991,-0.22821,-0.583008
43,0,-1.45,-1,-0.54,0.592957,0.508667,-0.234802,-0.578369
44,0,-3.26,-1.22,-0.88,0.587646,0.516174,-0.243958,-0.573364
45,0,-1.81,-0.7,-1.42,0.586365,0.517029,-0.244812,-0.573608
46,0,0.52,-0.19,-1.38,0.585022,0.517456,-0.244873,-0.574463
47,0,1.28,0.14,-1.47,0.582886,0.520203,-0.247803,-0.572937
48,0,1.1,0.02,-1.41,0.579529,0.525208,-0.254028,-0.569031
49,0,0.15,-0.34,-1.41,0.575256,0.532043,-0.262817,-0.562927
50,0,0.31,-0.35,-1.38,0.570557,0.539856,-0.27301,-0.55542
51,0,0.33,-0.41,-1.32,0.565186,0.548523,-0.284729,-0.546509
52,0,0.76,-0.18,-1.49,0.558777,0.558167,-0.298035,-0.536072
53,0,1,0.05,-1.85,0.550964,0.569153,-0.313782,-0.523438
54,0,0.94,0.01,-2.02,0.541016,0.582092,-0.33252,-0.507812
55,0,0.15,-0.39,-1.88,0.528809,0.596436,-0.353516,-0.489563
56,0,-0.35,-0.68,-1.85,0.507568,0.618713,-0.385864,-0.458984
57,0,-1.92,-0.51,-1.97,0.476562,0.647278,-0.425232,-0.416077
58,0,-1.84,-0.07,-1.89,0.461426,0.65979,-0.441284,-0.39624
59,0,-1.7,-0.59,-1.67,0.448425,0.669983,-0.455078,-0.378052
60,0,-1.17,-0.3,-1.52,0.43573,0.679504,-0.466309,-0.361938
61,0,-0.65,-0.17,-1.31,0.414307,0.695251,-0.482178,-0.33551
62,0,-0.79,-0.43,-1.31,0.405212,0.701904,-0.487244,-0.325195
63,0,-0.27,-0.51,-1.14,0.39801,0.707458,-0.490234,-0.317383
0,1,0.19,-0.87,-0.75,0.501099,0.585022,-0.121643,-0.626038
1,1,-0.84,-1.1,-1.14,0.485596,0.611816,-0.14624,-0.607056
2,1,-1.49,-0.63,-1.46,0.476624,0.626648,-0.160583,-0.595215
3,1,-2.36,-0.87,-2,0.447815,0.668152,-0.203796,-0.558167
4,1,-1.99,-1.18,-2.12,0.437622,0.680176,-0.216553,-0.546753
5,1,-1.61,-0.66,-2.03,0.401733,0.711426,-0.254211,-0.517517
6,1,-2.76,-1.08,-2.28,0.378784,0.72699,-0.280884,-0.499084
7,1,-2.18,-1.93,-2.07,0.358398,0.737549,-0.304565,-0.484619
8,1,-1.88,-0.65,-2.19,0.341492,0.743164,-0.323486,-0.47583
9,1,-1.02,-1.05,-2.24,0.327759,0.744934,-0.338135,-0.472595
10,1,-1.03,-0.63,-2.37,0.31665,0.744812,-0.34967,-0.471985
11,1,-0.93,-0.8,-2.46,0.307129,0.743347,-0.35907,-0.47345
12,1,-0.79,-0.77,-2.51,0.299255,0.741943,-0.365845,-0.475586
13,1,-0.59,-0.73,-2.9,0.293091,0.740784,-0.370178,-0.477783
14,1,-0.52,-0.66,-2.87,0.289368,0.739014,-0.372437,-0.481079
15,1,-0.43,-0.74,-2.59,0.285706,0.736938,-0.374939,-0.484436
16,1,-0.37,-0.68,-2.63,0.282227,0.735046,-0.378174,-0.486877
17,1,-0.51,-0.53,-2.7,0.279724,0.728638,-0.384094,-0.493286
18,1,-0.2,-0.27,-2.6,0.278015,0.724915,-0.386292,-0.497986
19,1,-0.11,-0.23,-2.58,0.273865,0.720886,-0.391113,-0.502319
20,1,-0.21,0.2,-2.15,0.267212,0.715332,-0.400085,-0.506775
21,1,-0.52,-0.22,-2.08,0.254822,0.71106,-0.415527,-0.506775
22,1,-0.61,-0.53,-2.12,0.241577,0.711548,-0.429504,-0.500793
23,1,-0.2,-0.2,-2.46,0.231689,0.712585,-0.440979,-0.49408
24,1,-0.34,0.31,-2.63,0.219849,0.714417,-0.45459,-0.484375
25,1,-0.61,0.08,-2.59,0.206177,0.716797,-0.470154,-0.471924
26,1,-0.42,-0.05,-2.72,0.191284,0.719055,-0.486694,-0.457703
27,1,-0.06,-1.05,-2.52,0.173462,0.722168,-0.507507,-0.436829
28,1,-2.84,-5.54,1.55,0.168884,0.72522,-0.509766,-0.430847
29,1,-6.35,-6.03,1.17,0.191956,0.7276,-0.475586,-0.455627
30,1,-11.18,-4.1,-9.7,0.27002,0.708618,-0.37616,-0.53241
31,1,-5.49,-2.37,-17.02,0.377991,0.646362,-0.221924,-0.624573
32,1,14.95,0.87,-22,0.478394,0.575073,-0.0822144,-0.658569
33,1,12.25,5.51,-12.99,0.567993,0.520325,-0.00634766,-0.637695
34,1,9.22,2.21,0.98,0.614868,0.492188,0.0194702,-0.615845
35,1,1.73,0.92,3.82,0.623413,0.505249,0.0108032,-0.596619
36,1,-11.6,-1.04,3.67,0.616211,0.534607,-0.0201416,-0.578003
37,1,-7.97,-1.37,2.6,0.608887,0.546387,-0.0328369,-0.574158
38,1,-4.25,-0.35,2.71,0.612671,0.534851,-0.0259399,-0.581299
39,1,-0.18,1.28,1.37,0.625732,0.50769,-0.010376,-0.592102
40,1,0.53,0.78,1.34,0.6297,0.502136,-0.00561523,-0.592712
41,1,-1.79,-1.24,1.12,0.625854,0.513672,-0.0152588,-0.58667
42,1,-3.44,-2.03,0.52,0.620544,0.524231,-0.0235596,-0.582703
43,1,-2.33,-1.69,-0.26,0.615784,0.530457,-0.0285034,-0.581909
44,1,-1.35,-1.26,-0.46,0.614075,0.529175,-0.0292969,-0.5849
45,1,-0.61,-0.79,-0.84,0.610168,0.53009,-0.0336304,-0.58783
46,1,-0.57,-0.85,-0.91,0.605286,0.535706,-0.0408936,-0.587341
47,1,-0.87,-1.19,-0.87,0.598206,0.545898,-0.0518188,-0.584351
48,1,-0.88,-1.2,-0.8,0.590271,0.559021,-0.0652466,-0.578613
49,1,-1.01,-1.23,-0.77,0.581421,0.574219,-0.0806274,-0.57074
50,1,-0.67,-1.03,-0.79,0.571594,0.590881,-0.0970459,-0.560974
51,1,-0.33,-0.87,-0.91,0.560242,0.609558,-0.115234,-0.548889
52,1,-0.66,-0.77,-1.22,0.545898,0.631592,-0.138184,-0.532898
53,1,-1.2,-1.24,-1.26,0.52771,0.656189,-0.165344,-0.513367
54,1,-1.53,-1.51,-1.34,0.505615,0.681885,-0.19458,-0.491455
55,1,-2.19,-1.41,-1.93,0.467407,0.718872,-0.238037,-0.456116
56,1,-1.98,-0.92,-1.94,0.454346,0.729919,-0.251343,-0.444519
57,1,-1.94,-1.25,-2.17,0.415894,0.757874,-0.286926,-0.41272
58,1,-1.61,-0.44,-1.9,0.390686,0.77301,-0.306946,-0.394409
59,1,-2.09,-1.27,-2.15,0.367065,0.785156,-0.3255,-0.377869
60,1,-1.49,-1.24,-2.22,0.345459,0.794434,-0.343262,-0.362854
61,1,-0.77,-0.61,-2.26,0.325684,0.801392,-0.358643,-0.35083
62,1,-0.94,-1.01,-2.24,0.307251,0.805847,-0.37207,-0.343262
63,1,-0.44,-0.26,-2.08,0.291382,0.80835,-0.382996,-0.33905
0,2,-1.29,-3.47,-2.34,0.398315,0.829529,-0.102478,-0.377869
1,2,-1.68,-3.3,-3.04,0.384827,0.844604,-0.119934,-0.352356
2,2,-1.35,-3.53,-4.18,0.36554,0.863281,-0.144226,-0.316772
3,2,-2,-3.98,-4.35,0.344116,0.880127,-0.170959,-0.278748
4,2,-1.62,-4.1,-4.11,0.322021,0.893677,-0.195984,-0.243408
5,2,-0.29,-4.14,-3.18,0.298706,0.904297,-0.217163,-0.21405
6,2,-0.65,-3.36,-3.86,0.273987,0.913635,-0.236755,-0.184753
7,2,0.34,-3.05,-4.34,0.250183,0.920288,-0.254395,-0.160461
8,2,1,-3.05,-4.71,0.229126,0.924194,-0.270508,-0.141968
9,2,0.98,-3.19,-5.1,0.213196,0.92572,-0.281982,-0.13446
10,2,1.39,-2.89,-5.11,0.195129,0.927917,-0.28949,-0.130615
11,2,2.77,-2.82,-5.81,0.176086,0.929626,-0.295776,-0.131592
12,2,3.1,-2.72,-5.9,0.170654,0.930176,-0.296936,-0.132202
13,2,2.98,-2.48,-5.33,0.162415,0.930786,-0.298523,-0.134644
14,2,2.85,-2.47,-4.82,0.155457,0.931091,-0.299805,-0.137878
15,2,2.63,-2.4,-4.58,0.148193,0.931458,-0.301025,-0.14093
16,2,3.17,-2.41,-4.93,0.139343,0.931519,-0.302917,-0.145264
17,2,3.03,-2.14,-4.87,0.134094,0.931396,-0.304688,-0.147156
18,2,2.67,-2.27,-4.88,0.128235,0.930481,-0.308655,-0.150085
19,2,2.74,-2.25,-5.14,0.123413,0.930115,-0.31134,-0.150574
20,2,2,-1.73,-4.54,0.117615,0.930054,-0.314209,-0.14978
21,2,3.07,-1.89,-4.44,0.100586,0.930237,-0.321533,-0.145325
22,2,3,-1.65,-4.35,0.0827026,0.929626,-0.332764,-0.134766
23,2,3.44,-1.52,-5.08,0.069397,0.928467,-0.343018,-0.124512
24,2,3.29,-1,-4.86,0.0545654,0.927063,-0.353516,-0.112366
25,2,4.23,-0.95,-4.42,0.0371094,0.925049,-0.365173,-0.0977173
26,2,4.05,-0.87,-5.22,0.0187378,0.92218,-0.37793,-0.0800781
27,2,5.92,-2.25,-9.36,-0.00634766,0.91687,-0.395203,-0.0556641
28,2,3.14,-6.64,-16.42,-0.0140381,0.916626,-0.396606,-0.0479736
29,2,7.38,-6.48,-21.77,0.00939941,0.929749,-0.355774,-0.0945435
30,2,13.97,2.06,-31,0.0969849,0.939087,-0.247437,-0.218018
31,2,33.06,25.96,-24.71,0.291992,0.85083,0.00653076,-0.436768
32,2,31.49,29.81,-3.34,0.357666,0.806702,0.0786743,-0.463806
33,2,-2.13,11.75,29.48,0.475769,0.734802,0.153137,-0.458496
34,2,-15.3,-4.59,23.42,0.53949,0.703369,0.146423,-0.439087
35,2,-16.22,-4.85,7.55,0.553589,0.717468,0.106506,-0.40918
36,2,-8.11,-3.58,1.31,0.538818,0.747131,0.0736084,-0.382141
37,2,-7.4,-3.13,-0.58,0.533142,0.755432,0.0581055,-0.376404
38,2,-6.52,-2.78,-1.37,0.538147,0.745056,0.0600586,-0.389465
39,2,-6.64,-3.17,-1.41,0.55011,0.724915,0.0673218,-0.409119
40,2,-5.54,-3.62,0.35,0.552917,0.721375,0.0665283,-0.411682
41,2,-4.83,-4.77,-0.27,0.546814,0.732056,0.0547485,-0.402527
42,2,-3.87,-4.67,-0.45,0.540649,0.740723,0.0478516,-0.395874
43,2,-3.79,-4.81,-0.65,0.534973,0.746094,0.0421753,-0.394165
44,2,-3.47,-4.63,-1.39,0.532837,0.746216,0.0391846,-0.397156
45,2,-3.57,-4.28,-2.12,0.527039,0.749939,0.0317383,-0.39856
46,2,-2.6,-4.3,-2.65,0.519958,0.75708,0.0239258,-0.394897
47,2,-2.42,-4.34,-2.91,0.512146,0.766785,0.013855,-0.386658
48,2,-2.62,-4.51,-2.45,0.503784,0.778381,0.00250244,-0.374573
49,2,-2.59,-4.57,-2.27,0.489807,0.797607,-0.0170898,-0.351562
50,2,-2.42,-4.39,-2.25,0.484497,0.804443,-0.0246582,-0.342896
51,2,-1.73,-4.28,-1.93,0.472656,0.819031,-0.0424805,-0.32251
52,2,-2.12,-4.29,-2.63,0.450989,0.843445,-0.0812988,-0.280457
53,2,-1.97,-4.46,-3.21,0.442017,0.851929,-0.0969849,-0.26355
54,2,-3.05,-4.67,-4.1,0.410645,0.876404,-0.140991,-0.208252
55,2,-1.14,-4.44,-3.53,0.384705,0.891907,-0.163269,-0.172729
56,2,-0.34,-4.26,-3.59,0.358032,0.904663,-0.18457,-0.138855
57,2,-0.01,-4.07,-3.95,0.333435,0.913818,-0.206116,-0.105896
58,2,0.41,-4.56,-4.18,0.298889,0.922058,-0.238159,-0.0617676
59,2,0.47,-4.19,-4.36,0.287537,0.92395,-0.247681,-0.0476074
60,2,1.01,-4.11,-4.18,0.254639,0.928345,-0.27063,-0.0115967
61,2,1.49,-3.64,-3.82,0.23291,0.930542,-0.28241,0.00616455
62,2,1.97,-3.44,-4.11,0.211548,0.932495,-0.292175,0.0195312
63,2,2.33,-3.37,-4.02,0.191345,0.934326,-0.299377,0.0280762
0,3,0.17,-0.74,0.56,0.36615,0.508728,0.249817,-0.738037
1,3,-1.87,-1.24,-1.34,0.357666,0.540283,0.194336,-0.73645
2,3,-1.34,-1.31,-0.84,0.343384,0.573242,0.147217,-0.729309
3,3,-0.12,-0.87,-0.69,0.325012,0.602844,0.101257,-0.721619
4,3,0.23,-0.79,-2.2,0.304504,0.628174,0.0481567,-0.714355
5,3,-1.08,-2.65,-4.69,0.284241,0.649658,-0.00708008,-0.705078
6,3,-2,-1.42,-4.9,0.267151,0.66571,-0.0557251,-0.694519
7,3,-2.49,-1.65,-4.33,0.255493,0.67688,-0.0983276,-0.683289
8,3,-3.18,-1.47,-4.67,0.24762,0.683167,-0.135864,-0.673462
9,3,-3.6,-1.8,-4.9,0.241516,0.684082,-0.168457,-0.667358
10,3,-3.83,-1.48,-4.72,0.237244,0.682129,-0.192932,-0.664185
11,3,-3.22,-1.2,-4.08,0.231628,0.676697,-0.21344,-0.665527
12,3,-2.9,-1.21,-4.16,0.229248,0.674622,-0.217529,-0.667114
13,3,-2.24,-0.84,-3.74,0.230469,0.667847,-0.217041,-0.673645
14,3,-1.29,-1.06,-3.59,0.224976,0.661621,-0.225037,-0.678955
15,3,-1.47,-1.16,-4.26,0.22052,0.656555,-0.23407,-0.682312
16,3,-1.53,-0.95,-3.81,0.22345,0.647888,-0.23822,-0.688171
17,3,-2.15,-0.36,-3.69,0.2229,0.644897,-0.243591,-0.68927
18,3,-1.43,-0.01,-2.61,0.227905,0.63623,-0.248596,-0.693909
19,3,-1.11,0.1,-2.37,0.224792,0.632507,-0.260559,-0.693909
20,3,-1.78,0.16,-3.15,0.217651,0.627502,-0.284119,-0.691528
21,3,-1.58,-0.12,-2.95,0.21051,0.626648,-0.300476,-0.687561
22,3,-1.65,-0.16,-3.54,0.199951,0.625732,-0.324463,-0.680542
23,3,-0.17,0.51,-2.23,0.193542,0.624329,-0.341248,-0.675476
24,3,-0.38,0.9,-2.57,0.180725,0.624756,-0.373108,-0.661682
25,3,-0.98,0.87,-3.69,0.169067,0.627136,-0.398499,-0.647583
26,3,-1.35,1.09,-4.05,0.162903,0.628845,-0.411316,-0.639404
27,3,-2.61,0.4,-7.25,0.142944,0.636108,-0.461365,-0.601746
28,3,-10.34,-2.15,-15.77,0.139526,0.642517,-0.469666,-0.589172
29,3,-31.68,1.31,-37.82,0.152161,0.657104,-0.415344,-0.610352
30,3,-28.6,25.67,-37.89,0.168823,0.653809,-0.334656,-0.657288
31,3,25.95,42.1,-30.16,0.23645,0.551941,0.0978394,-0.79364
32,3,20.91,39.14,9.74,0.298401,0.480591,0.39325,-0.724792
33,3,29.22,26.47,26.48,0.324463,0.454834,0.499146,-0.662354
34,3,29.67,11.82,30.54,0.372314,0.44458,0.575867,-0.576233
35,3,4.44,6.53,14.91,0.379822,0.461121,0.557251,-0.57666
36,3,-2.94,-5.42,-4.73,0.37207,0.511047,0.49884,-0.592896
37,3,-4.18,-4.78,-4.07,0.371765,0.51593,0.480225,-0.604126
38,3,-3.64,-3.17,-1.64,0.375549,0.509338,0.481323,-0.606567
39,3,-0.63,0.68,8.8,0.395203,0.472778,0.511536,-0.598816
40,3,0.81,-0.68,5.86,0.393616,0.471008,0.511536,-0.601257
41,3,0.54,-2.34,2.53,0.382507,0.487305,0.492859,-0.610962
42,3,-0.42,-4.84,-0.86,0.375671,0.497681,0.480408,-0.61676
43,3,0.38,-4.67,-0.21,0.370972,0.501282,0.470154,-0.624573
44,3,-0.15,-3.22,2.14,0.372192,0.498962,0.46582,-0.628845
45,3,-0.87,-3.22,1.97,0.371399,0.50116,0.454651,-0.635742
46,3,-0.8,-3.03,1.52,0.369019,0.507812,0.441223,-0.641296
47,3,-0.64,-3.38,0.5,0.365662,0.51947,0.423889,-0.645569
48,3,-0.15,-3.06,0.46,0.362061,0.533875,0.403198,-0.649109
49,3,-0.36,-2.81,0.85,0.358337,0.550781,0.379272,-0.651428
50,3,0.8,-2.03,1.67,0.352478,0.569092,0.351868,-0.654236
51,3,0.48,-1.47,1.42,0.345215,0.592346,0.316956,-0.655334
52,3,0.18,-1.24,0.86,0.333923,0.619324,0.276062,-0.654785
53,3,-0.02,-1.22,-0.48,0.317627,0.647522,0.229553,-0.653564
54,3,0.1,-1.36,-1.86,0.298035,0.67511,0.179626,-0.650513
55,3,-0.08,-1.84,-2.88,0.268555,0.71106,0.101074,-0.641907
56,3,-0.6,-2.02,-3.24,0.250427,0.731201,0.0481567,-0.632751
