sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.11,-0.04,-0.14,0.488525,0.612305,-0.427917,-0.450928
1,0,0.09,0.27,-0.21,0.48938,0.611206,-0.430298,-0.449219
2,0,-0.02,0.03,-0.15,0.489441,0.610779,-0.43219,-0.447876
3,0,-0.44,0.01,-0.01,0.48822,0.611145,-0.435486,-0.445557
4,0,-0.38,-0.04,-0.07,0.487427,0.611145,-0.4375,-0.444458
5,0,0,0.49,-0.19,0.48761,0.609924,-0.439453,-0.44397
6,0,-0.01,-0.1,-0.26,0.486938,0.609619,-0.441467,-0.443115
7,0,0.07,0.11,-0.29,0.486084,0.609558,-0.443848,-0.441772
8,0,0.07,0.86,-0.43,0.483948,0.611023,-0.446655,-0.439209
9,0,0.99,-0.13,-0.76,0.478088,0.616333,-0.452393,-0.432312
10,0,1.21,-0.3,-0.91,0.470398,0.623352,-0.459167,-0.423462
11,0,0.11,-0.19,-0.92,0.45282,0.639404,-0.472778,-0.403137
12,0,-0.08,-0.31,-1.06,0.438965,0.651672,-0.482727,-0.38678
13,0,-0.28,-0.23,-0.85,0.417725,0.669739,-0.497009,-0.360474
14,0,-0.65,-0.07,-0.46,0.404053,0.680908,-0.505127,-0.343323
15,0,0.66,2.36,-0.83,0.387695,0.695007,-0.513977,-0.32019
16,0,-0.34,0.06,-0.1,0.378296,0.703308,-0.518005,-0.306519
17,0,-0.73,0.06,0.39,0.368347,0.712219,-0.523193,-0.288635
18,0,-0.45,0.1,0.35,0.364075,0.71637,-0.525452,-0.279724
19,0,0.24,1.01,0.47,0.359192,0.721252,-0.5271,-0.270203
20,0,0,-0.05,0.22,0.355347,0.724426,-0.52832,-0.26416
21,0,-0.26,0.14,0.49,0.347961,0.729797,-0.532959,-0.249573
22,0,0,-0.2,0.3,0.343689,0.732239,-0.535645,-0.242554
23,0,-0.04,-0.16,-0.03,0.339478,0.73468,-0.538025,-0.235718
24,0,-0.26,-0.04,-0.1,0.335388,0.736938,-0.540283,-0.229248
25,0,-0.27,-0.17,-0.24,0.329773,0.740356,-0.542603,-0.220764
26,0,1.13,-0.55,-1.33,0.327576,0.742737,-0.542725,-0.215637
27,0,0.87,0.08,-0.48,0.322693,0.747681,-0.543518,-0.203613
28,0,-1.88,0.75,1.29,0.318787,0.751038,-0.543884,-0.196167
29,0,-5.01,0.65,3.66,0.332153,0.747314,-0.536072,-0.209229
30,0,-7.58,-1.03,5.49,0.364807,0.732117,-0.519226,-0.247681
31,0,-10.81,-0.7,3.27,0.419556,0.69873,-0.488403,-0.311829
32,0,-15.18,-3.25,-5.97,0.478271,0.649963,-0.436951,-0.397339
33,0,-12.54,-2.61,-11.02,0.531433,0.591003,-0.362061,-0.487061
34,0,-2.14,-5.2,-17.81,0.573975,0.531189,-0.279724,-0.556885
35,0,13.23,5.98,-19.71,0.610168,0.4729,-0.207825,-0.600708
36,0,32.31,2.2,-5.97,0.631104,0.441711,-0.181885,-0.611145
37,0,7.71,0.15,-1.71,0.628418,0.45813,-0.203308,-0.594849
38,0,-1.08,-0.9,0,0.612366,0.495056,-0.250549,-0.563171
39,0,-9.3,-0.51,0.63,0.590271,0.532349,-0.297424,-0.52887
40,0,-10.46,1.29,1.08,0.568604,0.561584,-0.329651,-0.502563
41,0,-7.17,0.84,0.93,0.556274,0.575867,-0.344971,-0.489868
42,0,-3.77,0.17,0.66,0.553345,0.578003,-0.347229,-0.489075
43,0,-0.56,-0.55,0.42,0.554016,0.575562,-0.343201,-0.493958
44,0,0.57,-0.7,0.54,0.554504,0.573364,-0.338318,-0.499329
45,0,1.45,-0.13,0.58,0.552551,0.573669,-0.335938,-0.502686
46,0,1.43,0.19,0.16,0.547607,0.576843,-0.337952,-0.503174
47,0,0.99,0.33,-0.42,0.539673,0.582764,-0.343933,-0.500854
48,0,0.52,0.26,-0.9,0.529541,0.590454,-0.352539,-0.496704
49,0,0.46,0.27,-0.82,0.518555,0.598816,-0.362061,-0.491333
50,0,-0.08,-1.4,-0.66,0.508423,0.606689,-0.37262,-0.484253
51,0,0.35,-0.18,-0.15,0.498962,0.614746,-0.382507,-0.476196
52,0,-0.05,0.24,-0.05,0.488586,0.623962,-0.392029,-0.467163
53,0,0.01,-1.69,-0.34,0.477905,0.633179,-0.401245,-0.457947
54,0,1.03,1.19,-0.71,0.467102,0.641846,-0.410583,-0.448608
55,0,-0.04,0.26,-0.53,0.443787,0.660522,-0.43158,-0.424866
56,0,-0.51,-0.17,-0.48,0.430115,0.67157,-0.441772,-0.410889
57,0,-0.28,-0.01,0.11,0.417419,0.68158,-0.450867,-0.3974
58,0,0.25,-0.29,0.2,0.407166,0.689331,-0.458862,-0.385254
59,0,0.28,-0.36,0.25,0.398315,0.695679,-0.466248,-0.374207
60,0,-0.11,-0.35,0.23,0.390259,0.700989,-0.472839,-0.364258
61,0,-0.15,-0.17,0.09,0.384338,0.704529,-0.47821,-0.356628
62,0,0.37,-0.02,-0.03,0.381531,0.705994,-0.482239,-0.351318
63,0,0.68,0.19,-0.08,0.380249,0.70636,-0.485535,-0.347473
0,1,-0.36,0.12,-0.03,0.395447,0.628601,-0.380432,-0.551086
1,1,-0.28,0.03,0.06,0.391113,0.627686,-0.38385,-0.552856
