sample,sensor,ax,ay,az,w,i,j,k
0,0,-1.16,-0.36,-0.82,0.564758,0.605896,-0.289856,-0.479553
1,0,-1.34,-1.56,-1.1,0.556213,0.617676,-0.307983,-0.462891
2,0,-1.08,-0.25,-0.89,0.542847,0.63446,-0.332153,-0.438721
3,0,-0.97,-0.67,-0.75,0.534668,0.644104,-0.346863,-0.423096
4,0,-1.55,-0.7,-0.55,0.522949,0.65686,-0.367004,-0.400513
5,0,-1.12,-0.85,-0.18,0.515991,0.664001,-0.377686,-0.387512
6,0,-0.15,-0.16,-0.5,0.507263,0.672546,-0.390869,-0.37085
7,0,0.38,-0.17,-0.75,0.501404,0.677856,-0.399658,-0.35968
8,0,-0.31,-0.16,-0.65,0.489502,0.687744,-0.414368,-0.340088
9,0,-0.79,-0.1,-0.57,0.480347,0.694824,-0.4245,-0.32605
10,0,-0.38,0.51,-0.73,0.46698,0.70459,-0.437683,-0.306458
11,0,-0.46,-0.42,-0.84,0.458252,0.710632,-0.44574,-0.293884
12,0,-0.37,-0.33,-0.78,0.446716,0.718689,-0.456177,-0.275513
13,0,-0.47,-0.17,-0.43,0.438721,0.723816,-0.462646,-0.263733
14,0,-0.69,-0.25,-0.43,0.426758,0.731384,-0.470825,-0.247498
15,0,-0.06,-0.33,-0.71,0.419556,0.735901,-0.475342,-0.237671
16,0,0.61,-0.36,-0.63,0.409119,0.74231,-0.481934,-0.222168
17,0,-0.21,-0.26,-0.6,0.40094,0.747009,-0.486816,-0.210327
18,0,-0.08,0.89,-0.68,0.389404,0.753784,-0.49292,-0.193054
19,0,-0.44,-0.32,-0.21,0.382812,0.757568,-0.495728,-0.183838
20,0,0.11,-0.29,-0.17,0.374084,0.762451,-0.499268,-0.171509
21,0,-0.4,-0.27,-0.42,0.368652,0.765564,-0.501221,-0.163696
22,0,-0.4,-0.25,-0.14,0.362793,0.769287,-0.502747,-0.154541
23,0,-0.76,-0.17,0.1,0.359375,0.771545,-0.50293,-0.150452
24,0,0.8,-0.57,-1.01,0.356934,0.775024,-0.500366,-0.146973
25,0,-0.54,-0.3,-0.69,0.355652,0.7771,-0.498962,-0.143799
26,0,-2.2,-0.2,0.05,0.35376,0.779602,-0.497253,-0.140869
27,0,-4.03,0.48,0.63,0.35553,0.781311,-0.49231,-0.144287
28,0,-4.74,0.46,1.27,0.365906,0.780579,-0.480591,-0.160645
29,0,-8.2,-0.4,2.21,0.388916,0.773621,-0.459717,-0.197144
30,0,-12.26,0.04,0.85,0.434448,0.750793,-0.422241,-0.263184
31,0,-10.43,-1.08,-5.61,0.496826,0.702454,-0.359558,-0.361206
32,0,-9.85,-2.01,-11.55,0.554932,0.629089,-0.274902,-0.469849
33,0,0.39,-2.64,-15.26,0.590088,0.551758,-0.17749,-0.562073
34,0,11.08,-4.15,-14.53,0.607788,0.491699,-0.0961304,-0.616089
35,0,24.21,8.73,-10.3,0.618225,0.460571,-0.0559082,-0.63446
36,0,18.39,4.74,-6.14,0.627197,0.455078,-0.0559692,-0.629578
37,0,-0.73,-1.98,-0.43,0.631958,0.470642,-0.0820312,-0.610168
38,0,-8.88,-1.81,1.4,0.63385,0.489502,-0.109619,-0.588684
39,0,-8.65,0.59,2.31,0.638794,0.497192,-0.125061,-0.573669
40,0,1.47,1.2,1.38,0.644653,0.490479,-0.123291,-0.573242
41,0,1.94,1.35,0.72,0.647949,0.487427,-0.125061,-0.571777
42,0,-0.05,0.83,0.45,0.648438,0.490295,-0.133606,-0.566833
43,0,-2.35,-0.61,0.64,0.64624,0.5,-0.154724,-0.555359
44,0,-2.16,-0.56,0.19,0.643066,0.507507,-0.169434,-0.547852
