sample,sensor,ax,ay,az,w,i,j,k
0,0,31.52,9.03,-13.96,0.505676,0.552917,-0.156799,-0.643433
1,0,18.69,3.57,-4.16,0.523865,0.537048,-0.141602,-0.645874
2,0,2.05,-1.44,0.89,0.525879,0.553406,-0.161621,-0.625366
3,0,-8.9,-1.8,0.36,0.523315,0.568054,-0.183716,-0.608032
4,0,-8.68,-0.52,0.62,0.522766,0.57959,-0.195801,-0.593689
5,0,-3.33,1.81,0.48,0.52417,0.580139,-0.191406,-0.593323
6,0,0.88,2.54,-0.21,0.527649,0.576538,-0.183472,-0.596252
7,0,1.87,1.45,-0.37,0.529663,0.574951,-0.180115,-0.597046
8,0,0.08,-1.46,-0.69,0.526978,0.578857,-0.185486,-0.593994
9,0,-0.61,-1.76,-1.45,0.519653,0.587524,-0.197571,-0.587952
10,0,0.37,-1,-2.27,0.514709,0.593201,-0.205566,-0.583923
11,0,0.8,0.24,-1.99,0.504333,0.607422,-0.225952,-0.570618
12,0,1,0.41,-2.25,0.498352,0.616455,-0.239136,-0.560791
13,0,1.81,0.2,-2.15,0.491638,0.626282,-0.254761,-0.548767
14,0,1.79,-0.46,-2.2,0.48407,0.637451,-0.273682,-0.533325
15,0,0.66,-0.8,-2.51,0.473572,0.651672,-0.295837,-0.513367
16,0,-0.8,-1.43,-2.93,0.460693,0.667786,-0.319458,-0.489685
17,0,-1.95,-0.78,-3.09,0.447021,0.683838,-0.341675,-0.464478
18,0,-1.35,-0.4,-2.8,0.43457,0.697632,-0.360962,-0.440674
19,0,-0.13,-0.03,-2.82,0.424133,0.708923,-0.378235,-0.417725
20,0,-0.49,-0.4,-2.81,0.405701,0.726501,-0.401428,-0.382751
21,0,-1.46,-0.23,-2.22,0.391113,0.739319,-0.414124,-0.359009
22,0,-1.11,-1,-1.49,0.363708,0.76062,-0.432434,-0.319641
23,0,-0.27,-0.57,-1.22,0.35498,0.767212,-0.43811,-0.305664
24,0,-0.58,-0.5,-1,0.348328,0.772705,-0.441711,-0.294067
25,0,-0.81,-0.06,-0.78,0.342773,0.777283,-0.44342,-0.285889
26,0,0.48,-0.45,-0.75,0.336121,0.782349,-0.441345,-0.283081
