sample,sensor,ax,ay,az,w,i,j,k
0,0,13.48,5.5,-6.68,0.521912,0.527161,-0.188171,-0.643677
1,0,4.07,0.1,-3.25,0.525574,0.536194,-0.201843,-0.628906
2,0,-5.52,-0.61,-1.26,0.530212,0.557678,-0.224609,-0.597839
3,0,-2.97,0.05,-0.19,0.53833,0.560669,-0.227051,-0.586792
4,0,-1.36,0.65,0.23,0.544067,0.559448,-0.226501,-0.582825
5,0,-1.59,0.88,0.17,0.549683,0.55957,-0.231323,-0.575562
6,0,-1.47,0.25,-0.41,0.55072,0.559692,-0.235168,-0.572815
7,0,-0.58,-0.57,-1.04,0.551331,0.559326,-0.242188,-0.569641
8,0,-0.45,-0.61,-1.09,0.55072,0.559753,-0.246094,-0.568176
9,0,-0.52,-0.5,-1.11,0.549316,0.560913,-0.250244,-0.566589
10,0,-0.35,-0.18,-1.2,0.546814,0.561401,-0.255493,-0.566162
11,0,0.23,0.03,-1.31,0.543274,0.564026,-0.262207,-0.563904
12,0,0.24,-0.05,-1.54,0.539673,0.567139,-0.268982,-0.561035
13,0,0.08,-0.33,-1.36,0.533203,0.573547,-0.281067,-0.554749
14,0,0.59,-0.44,-1.37,0.527588,0.579346,-0.290894,-0.549011
15,0,1.41,0.02,-1.83,0.517151,0.590698,-0.308594,-0.537048
16,0,1.86,-0.17,-3.56,0.490601,0.621338,-0.355408,-0.496948
17,0,1.25,-1.05,-4.48,0.47467,0.639282,-0.379578,-0.471069
18,0,-0.19,-3.12,-4.92,0.455627,0.660095,-0.404236,-0.439636
19,0,-0.53,0.07,-5.1,0.435303,0.681641,-0.427185,-0.404114
20,0,-2.3,-0.87,-3.53,0.414551,0.703064,-0.44635,-0.366943
21,0,-3.18,0.89,-2.24,0.394714,0.722229,-0.461975,-0.330383
22,0,-4.53,0.17,0.05,0.376221,0.738342,-0.473572,-0.298462
23,0,-1.25,0.8,0.88,0.350464,0.758606,-0.483337,-0.260925
24,0,0.39,-0.98,0.53,0.342163,0.764893,-0.483765,-0.252563
25,0,0.86,-0.97,0.11,0.335144,0.770264,-0.483276,-0.246643
26,0,0.96,-0.57,-0.49,0.330261,0.774292,-0.481934,-0.243164
27,0,1.78,0.01,-0.74,0.32782,0.777527,-0.478516,-0.242859
28,0,1.19,0.28,-0.89,0.326355,0.779297,-0.476501,-0.243225
29,0,0.86,-0.12,-0.91,0.324768,0.781433,-0.473633,-0.244019
30,0,0.59,-0.45,-1.1,0.324585,0.782532,-0.47113,-0.245544
31,0,-1.09,-0.25,0.04,0.328491,0.782471,-0.464844,-0.252563
32,0,-4.69,0.92,3.18,0.337585,0.778076,-0.456604,-0.268555
33,0,-2.67,0.49,4.75,0.359802,0.763,-0.441589,-0.305603
34,0,-7.18,0.99,5.43,0.394104,0.733276,-0.418396,-0.36322
35,0,-15.68,-5.74,-4.47,0.434265,0.671204,-0.366394,-0.476074
36,0,-4.22,2.32,-21.5,0.456116,0.627869,-0.307007,-0.550903
37,0,12.27,4.03,-22.06,0.505859,0.556519,-0.220642,-0.621094
38,0,22.73,1.2,-6.6,0.531067,0.531738,-0.202759,-0.627808
39,0,-2.27,-2.29,-0.47,0.537231,0.557495,-0.230896,-0.589294
40,0,-7.27,-0.74,0.14,0.534668,0.582031,-0.259094,-0.555115
41,0,-5.29,1.26,0.65,0.535339,0.59137,-0.267944,-0.540222
