sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.36,-0.14,-0.92,0.266663,0.663757,-0.69812,-0.0305786
1,0,-0.21,-0.2,-0.91,0.26709,0.659119,-0.702332,-0.0313721
2,0,-0.01,-0.15,-0.7,0.267456,0.656494,-0.70459,-0.0322876
3,0,0,-0.16,-0.67,0.267395,0.654785,-0.706116,-0.0330811
4,0,0.04,-0.1,-0.48,0.266907,0.653809,-0.707214,-0.0341797
5,0,0.04,0,-0.13,0.266663,0.654114,-0.70697,-0.0346069
6,0,0.07,0,-0.04,0.266907,0.655212,-0.705872,-0.0357666
7,0,0.28,0.04,0.02,0.267395,0.655884,-0.704956,-0.0368042
8,0,0.29,0.07,0.06,0.268738,0.656799,-0.703491,-0.0386963
9,0,0.24,0.1,0.11,0.269226,0.657532,-0.702637,-0.0392456
10,0,0.16,0.1,0.11,0.270081,0.658203,-0.701599,-0.039917
11,0,0.2,0.06,-0.03,0.27063,0.658447,-0.701172,-0.0402832
12,0,0.19,0.06,-0.09,0.271301,0.658508,-0.700745,-0.0408936
13,0,-0.01,0.09,-0.29,0.270813,0.658691,-0.700806,-0.0406494
14,0,-0.01,0.13,-0.02,0.26947,0.658813,-0.701233,-0.0394897
15,0,0,0.11,0.12,0.268372,0.658691,-0.701904,-0.0388184
16,0,0.09,0,0.14,0.266968,0.658264,-0.70282,-0.0383301
17,0,0.07,-0.04,-0.01,0.266602,0.65802,-0.703186,-0.038208
18,0,0.13,-0.06,-0.1,0.266968,0.657776,-0.703308,-0.038208
19,0,0.03,-0.05,-0.2,0.267395,0.657715,-0.703186,-0.0383301
20,0,0.07,-0.08,-0.42,0.268433,0.657959,-0.702515,-0.0388184
21,0,0.26,-0.07,-0.7,0.268982,0.658691,-0.701599,-0.0388184
22,0,0.24,-0.07,-0.2,0.267761,0.660706,-0.700256,-0.0369263
23,0,-0.09,-0.08,0.23,0.266541,0.662292,-0.699341,-0.0357666
24,0,0.04,-0.14,-0.11,0.265869,0.664856,-0.697144,-0.0360718
25,0,0.17,0.15,-0.04,0.26593,0.667236,-0.694824,-0.0363159
26,0,0.66,0.64,-0.42,0.263977,0.670715,-0.692322,-0.0345459
27,0,0.68,-0.4,-1.29,0.259949,0.672485,-0.692322,-0.0305786
28,0,-0.17,-0.21,-0.39,0.251953,0.676758,-0.691467,-0.0212402
29,0,-0.39,0.15,0,0.247925,0.679199,-0.690674,-0.0159912
30,0,-0.3,-0.35,-0.64,0.242004,0.685181,-0.686951,-0.0108032
31,0,-0.5,-0.31,-0.43,0.240723,0.688965,-0.683594,-0.00958252
32,0,-1.79,-0.13,0.01,0.240234,0.693665,-0.678955,-0.00866699
33,0,-1.67,0.31,-0.58,0.241089,0.698608,-0.673523,-0.0106812
34,0,0.24,0.36,-0.35,0.24939,0.705139,-0.66333,-0.022583
35,0,1.1,0.57,0.81,0.253174,0.70813,-0.658508,-0.0292358
36,0,0.55,1.28,0.9,0.255615,0.710083,-0.654968,-0.038208
37,0,3.76,0.78,-0.41,0.259399,0.708191,-0.655212,-0.0435791
38,0,2.77,0.49,2.98,0.266846,0.703064,-0.657593,-0.0452881
39,0,-0.28,-0.01,-0.05,0.266235,0.697998,-0.663391,-0.0426025
40,0,-0.29,0.51,0.7,0.267151,0.69165,-0.669861,-0.0393066
41,0,0.1,-0.12,-0.2,0.27124,0.686035,-0.674011,-0.0388794
42,0,0.03,-0.25,-0.19,0.275757,0.678284,-0.680054,-0.0375977
43,0,-0.29,0.03,-0.48,0.277893,0.673584,-0.683899,-0.0367432
44,0,-0.44,-0.03,-0.53,0.280518,0.667114,-0.689148,-0.0366821
