sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.08,0,-0.76,0.279663,0.681274,-0.676025,-0.0256348
1,0,-0.36,-0.09,-0.65,0.283081,0.675293,-0.680603,-0.0251465
2,0,-0.63,-0.14,-0.82,0.285522,0.671753,-0.683044,-0.0256348
3,0,-0.39,-0.07,-0.6,0.289612,0.667664,-0.685303,-0.02771
4,0,-0.11,-0.12,-0.54,0.291565,0.664917,-0.687012,-0.0289917
5,0,-0.14,-0.11,-0.58,0.293091,0.661987,-0.689148,-0.0307617
6,0,-0.08,-0.09,-0.46,0.293335,0.660828,-0.690125,-0.0316162
7,0,-0.21,-0.03,-0.27,0.293762,0.660339,-0.690369,-0.03302
8,0,0.05,-0.02,-0.38,0.294312,0.660339,-0.690002,-0.0343628
9,0,0.34,0.07,0.1,0.295349,0.66095,-0.688965,-0.0357666
10,0,0.25,0.03,0.04,0.296021,0.661377,-0.688232,-0.0366211
11,0,0.36,0.06,0.17,0.296326,0.661682,-0.687744,-0.0372925
12,0,0.15,0.01,-0.01,0.296326,0.661804,-0.687561,-0.0375977
13,0,0.12,0.04,0.08,0.296326,0.661926,-0.6875,-0.0379028
14,0,0.11,-0.05,-0.01,0.297058,0.661865,-0.687195,-0.038269
15,0,0.17,0.02,0.13,0.297729,0.661804,-0.686951,-0.0386353
16,0,-0.05,0.03,0.1,0.298889,0.661499,-0.686707,-0.0394897
17,0,-0.14,-0.09,-0.29,0.299805,0.661194,-0.686523,-0.0406494
18,0,0.15,0,-0.14,0.301758,0.661316,-0.685425,-0.0427856
19,0,0.31,0,-0.54,0.302856,0.661438,-0.684692,-0.0438232
20,0,0.05,0.03,-0.7,0.302429,0.662109,-0.684326,-0.0431519
21,0,0.12,0.06,-0.62,0.301453,0.662964,-0.684021,-0.0420532
22,0,0.64,0.27,0.24,0.300415,0.664551,-0.682983,-0.039978
23,0,-0.17,-0.41,-0.02,0.299316,0.665771,-0.682373,-0.0388184
24,0,-0.13,-0.19,0.8,0.297119,0.668457,-0.680725,-0.0383301
25,0,0.19,-0.25,-0.08,0.296814,0.6698,-0.679504,-0.0395508
26,0,1.22,-0.05,-0.03,0.295776,0.672485,-0.677307,-0.0392456
27,0,0.01,0.46,-0.72,0.293884,0.674438,-0.676331,-0.0361328
28,0,-0.77,-0.93,-1.91,0.279541,0.681519,-0.67572,-0.0280151
29,0,-0.58,-0.12,-1.25,0.269348,0.690491,-0.670959,-0.0220947
30,0,0.21,-0.15,-0.41,0.262512,0.69635,-0.667664,-0.0200806
31,0,-0.75,-0.49,-0.8,0.251892,0.706665,-0.661011,-0.0164795
32,0,-1.59,-0.19,-0.84,0.248535,0.714539,-0.653748,-0.0177002
33,0,-1.31,0.31,-0.01,0.252319,0.726257,-0.638916,-0.0245361
34,0,2.8,0.82,1.68,0.266785,0.733887,-0.623535,-0.0379028
35,0,2.97,1.58,1.72,0.276062,0.736267,-0.616089,-0.0454712
36,0,1.5,1.37,1.31,0.281921,0.735779,-0.613647,-0.0510254
37,0,1.14,0,1.4,0.281799,0.732788,-0.617249,-0.0505371
38,0,1.45,0.4,2.15,0.283325,0.717468,-0.635376,-0.0351562
39,0,-3.05,-0.29,-0.3,0.280518,0.71051,-0.644653,-0.0305786
40,0,-0.68,0.24,-0.34,0.289062,0.699646,-0.65271,-0.0310669
41,0,1,-0.15,-0.19,0.294617,0.692383,-0.657959,-0.0298462
42,0,-0.59,-0.24,-0.68,0.295166,0.683716,-0.66687,-0.0255737
43,0,-0.85,0,-0.8,0.295837,0.67865,-0.671875,-0.0231934
44,0,-0.84,-0.21,-1.31,0.299011,0.670105,-0.679016,-0.0211182
45,0,-0.44,-0.24,-1.11,0.300537,0.666992,-0.681396,-0.0213623
46,0,-0.32,-0.19,-0.94,0.301636,0.664795,-0.683105,-0.0214844
47,0,-0.49,-0.13,-0.92,0.301758,0.663269,-0.684509,-0.0216675
48,0,-0.42,-0.03,-0.49,0.301331,0.662659,-0.685242,-0.0234375
49,0,0.06,-0.07,-0.55,0.301636,0.663025,-0.684692,-0.0251465
50,0,0.28,-0.02,-0.31,0.301575,0.66394,-0.683777,-0.0264282
51,0,0.26,-0.02,-0.13,0.301025,0.664917,-0.682983,-0.0272217
52,0,0.28,0.05,0.2,0.300415,0.666626,-0.68158,-0.0287476
53,0,0.49,0.01,0.12,0.30072,0.667114,-0.680908,-0.0299072
54,0,0.45,0.01,0.05,0.301331,0.667542,-0.680176,-0.0311279
55,0,0.23,0.04,0.11,0.301636,0.667969,-0.679626,-0.0318604
56,0,0.03,0.04,0.14,0.302246,0.668152,-0.679138,-0.0323486
57,0,0.4,0.09,-0.06,0.303345,0.667908,-0.678833,-0.0327759
58,0,0.18,0.02,0.05,0.304749,0.667358,-0.678711,-0.032959
59,0,0,0.06,-0.03,0.304993,0.666931,-0.679016,-0.0325317
60,0,-0.05,0.03,-0.11,0.305237,0.666199,-0.679688,-0.0319824
61,0,-0.03,0.01,-0.21,0.305359,0.665771,-0.680054,-0.0317993
62,0,0.02,0,-0.26,0.305359,0.665161,-0.680664,-0.0317993
63,0,0.07,-0.1,-0.52,0.304993,0.664795,-0.681152,-0.0317383
0,1,-0.19,0.07,-0.3,0.342773,0.575378,-0.742554,0.00292969
1,1,-0.18,-0.03,-0.13,0.344116,0.575134,-0.742126,0.00311279
2,1,0.23,0.17,0.11,0.34668,0.575928,-0.740356,0.00164795
3,1,0.5,-0.17,0.22,0.34906,0.575806,-0.739319,0.00012207
4,1,0.48,-0.14,0.35,0.350525,0.575684,-0.738708,-0.00140381
5,1,0.65,-0.16,0.45,0.351379,0.575806,-0.73822,-0.00238037
6,1,0.44,-0.08,0.35,0.351868,0.576477,-0.737488,-0.00372314
7,1,0.54,-0.11,0.28,0.351746,0.577698,-0.736572,-0.00494385
8,1,0.62,-0.1,0.25,0.352112,0.578369,-0.73584,-0.00634766
9,1,0.41,-0.14,0.23,0.353516,0.578613,-0.734985,-0.00750732
10,1,0.12,-0.11,0.23,0.355164,0.578186,-0.734497,-0.00744629
11,1,0.23,-0.21,-0.01,0.358704,0.578735,-0.732361,-0.00830078
12,1,0.31,-0.21,0.09,0.361694,0.579224,-0.730469,-0.00836182
13,1,0.3,0.14,-0.03,0.366577,0.580383,-0.727173,-0.00634766
14,1,0.27,0.23,0.19,0.369324,0.581238,-0.725037,-0.00396729
15,1,0.04,0.5,0.18,0.373535,0.579163,-0.724548,0.00280762
16,1,-0.44,-0.77,0.25,0.378418,0.571838,-0.727844,0.00567627
17,1,-0.63,0.93,-0.39,0.384827,0.558777,-0.734619,0.00292969
18,1,-0.23,-0.36,-0.49,0.386841,0.553894,-0.737244,-0.00299072
19,1,1.04,-0.31,-0.94,0.386536,0.557434,-0.734619,-0.0128784
