sample,sensor,ax,ay,az,w,i,j,k
0,0,0.35,0.14,0.14,0.234436,0.681641,-0.693054,0.00811768
1,0,0.14,0.04,0.11,0.234497,0.682617,-0.692078,0.00811768
2,0,0.04,0.06,0.1,0.234863,0.683838,-0.690735,0.00799561
3,0,0.02,0.03,-0.09,0.235474,0.684326,-0.690063,0.00775146
4,0,0,0.02,0,0.236511,0.685059,-0.688965,0.00762939
5,0,-0.03,0.03,-0.15,0.237,0.685486,-0.688416,0.00750732
6,0,0.05,0.08,-0.04,0.237549,0.685974,-0.687683,0.00726318
7,0,-0.06,0.02,0.01,0.237732,0.686279,-0.687378,0.00714111
8,0,-0.03,0.03,-0.03,0.237549,0.686646,-0.687073,0.00665283
9,0,0.13,0.02,-0.08,0.23761,0.686707,-0.687012,0.00604248
10,0,0.15,0.03,-0.05,0.237122,0.68689,-0.686951,0.00567627
11,0,0.16,0.06,-0.12,0.236511,0.686951,-0.687134,0.0057373
12,0,0,0.04,-0.04,0.235535,0.686768,-0.687683,0.00610352
13,0,0.02,0,-0.08,0.235046,0.686523,-0.688049,0.00604248
14,0,0.1,-0.05,-0.21,0.234741,0.686157,-0.688538,0.0055542
15,0,0.13,-0.01,-0.29,0.234436,0.685852,-0.688904,0.00543213
16,0,0.11,0.03,-0.35,0.233948,0.685425,-0.689514,0.00531006
17,0,0.1,0.01,-0.48,0.233643,0.68512,-0.689941,0.00531006
18,0,0.08,0,-0.44,0.232849,0.684814,-0.690491,0.00567627
19,0,-0.01,0.02,-0.35,0.231995,0.684998,-0.690613,0.00646973
20,0,-0.03,-0.04,-0.16,0.229736,0.686035,-0.690308,0.00848389
21,0,-0.14,-0.13,0.08,0.228577,0.686951,-0.689758,0.00909424
22,0,-0.47,-0.21,-0.39,0.227661,0.688782,-0.688232,0.00799561
23,0,-0.31,-0.29,-0.59,0.226929,0.691162,-0.686157,0.00665283
24,0,-0.09,-0.27,-0.61,0.223145,0.696838,-0.68158,0.00476074
25,0,0.29,-0.22,-0.46,0.218933,0.701172,-0.678528,0.00445557
26,0,-0.17,-0.42,-0.7,0.212341,0.708618,-0.672852,0.0057373
27,0,-0.21,0.99,-0.03,0.204651,0.714172,-0.669373,0.00732422
28,0,-0.97,-0.96,-1.6,0.191895,0.721069,-0.66571,0.0102539
29,0,-1.13,-0.25,-0.35,0.182434,0.7276,-0.661194,0.0119019
30,0,-1.17,0.08,-0.1,0.17334,0.73822,-0.651855,0.00982666
31,0,0.11,0.1,0.04,0.170105,0.745117,-0.644836,0.00531006
32,0,0.49,0.08,0.39,0.167419,0.755127,-0.63385,-0.00164795
33,0,1.39,0.85,1.88,0.167175,0.760559,-0.62738,-0.00561523
34,0,1.77,0.93,2,0.170532,0.76532,-0.620544,-0.0111694
35,0,1.21,0.68,0.63,0.1745,0.766174,-0.618347,-0.0140381
36,0,0.66,0.32,0.78,0.180298,0.765137,-0.61792,-0.0155029
37,0,0.84,0.78,1.09,0.184998,0.762756,-0.619446,-0.0152588
38,0,-0.01,0.56,0.88,0.191406,0.753906,-0.628357,-0.0126953
39,0,-0.38,0.3,-0.37,0.195923,0.74762,-0.634399,-0.0140381
40,0,1.02,1.82,1.66,0.202637,0.740295,-0.640869,-0.0150146
41,0,3.56,-0.35,0.13,0.212585,0.730164,-0.649231,-0.013916
42,0,0.02,0.7,0.22,0.225037,0.705017,-0.672546,0.00189209
43,0,-1.86,0.02,-1.53,0.225464,0.690125,-0.687561,0.0122681
44,0,-2.47,-0.5,-2.44,0.230164,0.676758,-0.699036,0.019104
45,0,-1.94,-0.49,-2.5,0.237915,0.665466,-0.707031,0.0241699
46,0,-2.12,-0.65,-2.57,0.247375,0.654602,-0.713867,0.0274048
47,0,-2.59,-0.68,-3.22,0.24762,0.651794,-0.716248,0.0283813
48,0,-0.96,0.06,-1.44,0.243042,0.656433,-0.713745,0.0249023
49,0,0.12,0.17,-0.91,0.242188,0.661133,-0.709778,0.0205078
50,0,0.91,0.09,-0.48,0.241577,0.666016,-0.705566,0.0159912
51,0,1.01,0.13,-0.38,0.241028,0.670654,-0.701416,0.0125122
52,0,1.12,0.32,0.13,0.24176,0.67627,-0.695801,0.00982666
53,0,0.67,0.22,0.58,0.243286,0.67865,-0.692932,0.00891113
54,0,0.27,0.12,0.42,0.246765,0.680786,-0.689636,0.00738525
55,0,0.03,0.11,0.23,0.249329,0.681702,-0.687805,0.00665283
56,0,-0.29,0.08,0.21,0.252197,0.683228,-0.685242,0.00610352
57,0,-0.4,0.01,-0.19,0.252319,0.684814,-0.683594,0.00506592
58,0,0.18,0.17,0.11,0.252075,0.68573,-0.6828,0.00427246
59,0,0.24,0.07,0.02,0.250488,0.686768,-0.682373,0.00384521
60,0,0.13,0.11,0.04,0.249207,0.687195,-0.682373,0.00378418
61,0,0.09,0.13,-0.11,0.247803,0.687012,-0.683044,0.00317383
62,0,-0.05,0.04,-0.24,0.246338,0.686462,-0.684143,0.00341797
63,0,-0.23,0.03,-0.4,0.24585,0.685974,-0.684814,0.00360107
0,1,0,0.09,0.24,0.269287,0.626526,-0.731384,-0.00592041
1,1,-0.12,0.05,0.24,0.269897,0.627502,-0.730286,-0.00592041
2,1,-0.07,0.05,0.17,0.270264,0.628052,-0.729736,-0.00622559
3,1,0.06,0.04,0.14,0.270935,0.628418,-0.729126,-0.00708008
4,1,0.05,0.08,0.16,0.270996,0.628418,-0.729065,-0.00726318
5,1,0.22,0.01,0.11,0.270752,0.628296,-0.729309,-0.00793457
6,1,0.02,0,0.08,0.269836,0.628052,-0.729858,-0.00769043
7,1,0.06,0,0.04,0.268921,0.627625,-0.73053,-0.00775146
8,1,0.08,-0.03,-0.02,0.268616,0.627441,-0.730835,-0.0078125
9,1,0.11,0.03,-0.16,0.26825,0.626892,-0.731445,-0.0078125
10,1,0.12,0.03,-0.18,0.268066,0.626404,-0.731934,-0.00762939
11,1,0.03,0.15,-0.26,0.26825,0.625122,-0.73291,-0.00714111
12,1,-0.05,0.17,-0.25,0.268616,0.623718,-0.734009,-0.0067749
13,1,-0.05,-0.03,-0.2,0.268616,0.620483,-0.736755,-0.00567627
14,1,-0.32,0.24,-0.3,0.268616,0.618164,-0.738708,-0.00476074
15,1,-0.45,-0.06,-0.44,0.268372,0.617676,-0.739258,-0.00482178
16,1,-0.68,0,-0.55,0.267639,0.619507,-0.737915,-0.00616455
17,1,-0.78,0.16,-0.83,0.265503,0.624573,-0.734375,-0.00762939
18,1,-1.43,0.37,-0.82,0.264771,0.62738,-0.732239,-0.0109253
19,1,0.9,0.25,-1.77,0.264404,0.633972,-0.72644,-0.0214844
20,1,-1.32,0.49,-1.89,0.262146,0.643066,-0.718994,-0.0274658
21,1,-1.25,3,-0.83,0.259827,0.659302,-0.704224,-0.0441284
22,1,-0.73,-2.16,1.29,0.244812,0.674072,-0.695618,-0.0431519
23,1,-0.64,-0.78,-0.24,0.226013,0.700989,-0.675598,-0.0327759
24,1,-0.06,2.2,0.96,0.213684,0.715088,-0.664551,-0.0370483
25,1,-0.84,-0.75,-0.04,0.200989,0.734497,-0.646851,-0.0408325
26,1,0.59,0.14,0.53,0.192261,0.746887,-0.63501,-0.0447388
27,1,2.11,-0.23,1.18,0.17804,0.763306,-0.618713,-0.0531006
28,1,2.98,0.6,2.23,0.167053,0.773499,-0.608337,-0.0612793
29,1,2.78,-5.39,0.02,0.154053,0.785217,-0.595825,-0.0686646
30,1,2.12,1.03,2.82,0.143921,0.792542,-0.587769,-0.0758667
31,1,1.56,0.5,2.77,0.140808,0.791382,-0.589661,-0.0787354
32,1,0.41,0.65,1.99,0.142517,0.784241,-0.598389,-0.0814819
33,1,1.71,0.9,1.52,0.151245,0.766541,-0.617737,-0.0893555
34,1,3.96,-0.09,1.55,0.161438,0.750488,-0.633972,-0.0939331
35,1,1.86,-0.5,1.73,0.169128,0.741821,-0.642639,-0.0897827
36,1,4.49,1.91,-0.23,0.193848,0.718628,-0.665527,-0.0551758
37,1,2.28,-0.31,1.45,0.200867,0.707031,-0.676392,-0.0470581
38,1,-0.06,1.64,0.02,0.211792,0.682068,-0.699768,-0.0153198
39,1,-1.78,2.08,-1.41,0.220459,0.669983,-0.708862,-0.00408936
40,1,-1.88,0.91,-1.93,0.226135,0.664001,-0.712708,-0.000366211
41,1,-3.6,0.66,-3.14,0.239502,0.643738,-0.726685,0.0102539
42,1,-4.31,0.06,-3.66,0.242126,0.637756,-0.731018,0.0142822
43,1,-4.78,0.37,-4.26,0.247559,0.625732,-0.739441,0.0203857
44,1,-4.06,0.14,-3.84,0.24823,0.623657,-0.740906,0.0217896
45,1,-1.69,-0.46,-1.93,0.247192,0.624268,-0.740784,0.0222778
46,1,-0.59,0.48,-1.81,0.246155,0.626953,-0.738892,0.0192871
47,1,0.35,0.14,-0.93,0.245605,0.629089,-0.737305,0.0169678
48,1,1.75,0.04,0.04,0.244507,0.636536,-0.731384,0.0100708
49,1,2.01,0,0.48,0.244629,0.638428,-0.729736,0.00823975
50,1,1.59,0.02,0.77,0.24762,0.643188,-0.724609,0.00366211
51,1,0.95,-0.1,0.86,0.248962,0.644165,-0.723206,0.00250244
52,1,0.18,-0.14,0.67,0.255737,0.647034,-0.718323,-0.00109863
53,1,-0.06,-0.01,0.6,0.257141,0.647461,-0.717407,-0.00158691
54,1,-0.54,0.04,0.55,0.260376,0.648804,-0.715027,-0.00274658
55,1,-0.36,0.15,0.42,0.261536,0.649841,-0.713623,-0.00384521
56,1,-0.22,0.02,0.4,0.262146,0.650879,-0.712463,-0.00476074
57,1,0.08,0.09,0.41,0.26239,0.651184,-0.712097,-0.00512695
58,1,0.12,0.08,0.35,0.262085,0.651611,-0.711853,-0.00549316
59,1,0.32,-0.04,0.26,0.260864,0.651917,-0.712036,-0.00592041
60,1,0.19,0.02,0.22,0.259827,0.652283,-0.712036,-0.00592041
61,1,0.34,0.02,0.08,0.259094,0.652283,-0.71228,-0.00628662
62,1,0.03,0.05,0,0.258423,0.6521,-0.712708,-0.00616455
63,1,-0.08,0.02,-0.16,0.257507,0.6521,-0.713074,-0.00628662
0,2,-0.19,0.12,-0.3,-0.314026,0.565063,-0.306335,0.698792
1,2,-0.14,0.13,-0.13,-0.313049,0.564636,-0.305603,0.69989
2,2,-0.08,0.04,-0.15,-0.311584,0.564575,-0.305969,0.700378
3,2,0,0,-0.23,-0.311646,0.564331,-0.305786,0.700684
4,2,-0.02,0.02,-0.24,-0.311584,0.56427,-0.306091,0.700623
5,2,-0.08,-0.08,-0.27,-0.312378,0.564087,-0.305969,0.7005
6,2,-0.1,0.17,0.04,-0.313782,0.564148,-0.305542,0.699951
7,2,0.04,0.13,0.13,-0.314453,0.56427,-0.305542,0.699524
8,2,0.02,0,0.18,-0.314941,0.564392,-0.305786,0.699158
9,2,-0.13,0.09,0.31,-0.315613,0.564453,-0.306091,0.698669
10,2,-0.09,0.12,0.55,-0.31665,0.564575,-0.307739,0.697327
11,2,-0.36,0.14,0.62,-0.316956,0.564392,-0.31073,0.696045
12,2,-0.12,-0.16,-0.11,-0.318298,0.564331,-0.318176,0.692078
13,2,0.2,0.18,-0.1,-0.320068,0.565735,-0.324524,0.687195
14,2,1.51,-0.34,-0.04,-0.323242,0.566284,-0.332336,0.681458
15,2,2.11,-0.79,-0.11,-0.322937,0.566467,-0.334229,0.680542
16,2,1.98,-0.9,-0.28,-0.31781,0.566406,-0.330566,0.684753
17,2,1.88,-1.12,-0.92,-0.313599,0.564209,-0.324219,0.691528
18,2,2.37,-0.67,2.3,-0.306763,0.557739,-0.310547,0.705994
19,2,4.61,-1.2,2.67,-0.270325,0.543152,-0.297119,0.737305
20,2,4.72,1.42,5.11,-0.23407,0.522278,-0.288757,0.767517
21,2,0.5,-0.76,-9.81,-0.148987,0.487427,-0.276123,0.81488
22,2,-3.24,-0.43,-4.29,-0.107788,0.474243,-0.256531,0.835266
23,2,-2.08,-0.68,-1.86,-0.0586548,0.472717,-0.234009,0.847595
24,2,0.55,-0.21,-1.1,-0.0313721,0.478821,-0.221802,0.848877
25,2,-0.35,0.14,-0.56,0.00506592,0.48822,-0.201477,0.849121
26,2,-0.13,0.68,-0.27,0.0256958,0.496277,-0.186584,0.847473
27,2,0.44,2.7,0.4,0.046936,0.511292,-0.155701,0.843872
