sample,sensor,ax,ay,az,w,i,j,k
0,0,-2.33,-1.17,-0.52,0.594788,0.460815,-0.178833,-0.633911
1,0,-0.9,-0.13,-0.6,0.593506,0.46106,-0.181458,-0.634216
2,0,-0.08,0.29,-0.47,0.593689,0.459961,-0.180359,-0.635193
3,0,0.06,0.4,-0.42,0.593323,0.459656,-0.180115,-0.635742
4,0,-0.52,-0.1,-0.25,0.592163,0.460999,-0.181763,-0.635437
5,0,-0.92,-0.42,-0.14,0.59021,0.463867,-0.184814,-0.634338
6,0,-0.7,-0.36,-0.03,0.587769,0.467346,-0.188049,-0.633057
7,0,-0.51,-0.16,-0.17,0.584778,0.471436,-0.19165,-0.631714
8,0,0.8,0.19,-0.36,0.580994,0.476685,-0.196411,-0.629761
9,0,1.51,0.19,-0.41,0.575562,0.485107,-0.204834,-0.625671
10,0,0.76,0.12,-0.63,0.562012,0.50647,-0.22583,-0.613708
11,0,0.34,-0.21,-1.07,0.55072,0.523987,-0.242981,-0.6026
12,0,0.64,-0.5,-1.28,0.538147,0.543091,-0.262024,-0.588867
13,0,0.44,-0.34,-1.68,0.524353,0.563599,-0.282593,-0.572327
14,0,0.23,-0.22,-1.98,0.509949,0.584106,-0.303711,-0.553711
15,0,0.51,-0.3,-2.43,0.496033,0.603455,-0.32489,-0.533203
16,0,0.13,-0.32,-2.78,0.482361,0.622192,-0.346191,-0.510254
17,0,-0.76,-0.89,-3.11,0.469421,0.640076,-0.366821,-0.485107
18,0,-0.15,-0.69,-3.17,0.45874,0.65625,-0.385864,-0.458313
19,0,0.79,0.05,-2.18,0.447815,0.671692,-0.404358,-0.429871
20,0,-2.04,-1.62,-1.13,0.43396,0.689331,-0.422791,-0.397156
21,0,-4.65,-0.51,0.42,0.415894,0.708008,-0.438721,-0.36499
22,0,-5,0.2,1.3,0.391907,0.728333,-0.454895,-0.330322
23,0,-2.71,-1.33,1.63,0.381165,0.736145,-0.459961,-0.318115
24,0,-0.89,-0.06,1.06,0.367859,0.744385,-0.465515,-0.306458
25,0,-0.24,-1.48,-0.4,0.362122,0.747314,-0.466797,-0.304199
26,0,0.21,-0.14,-0.91,0.358887,0.748474,-0.466736,-0.305176
27,0,0.67,-2.82,-0.61,0.357483,0.74884,-0.465942,-0.307068
28,0,-0.32,0.06,-0.23,0.353394,0.749817,-0.466431,-0.308838
29,0,-0.48,-1.94,-0.75,0.352112,0.750061,-0.464966,-0.311768
30,0,-0.81,-0.33,-0.76,0.35376,0.748779,-0.460754,-0.319214
31,0,-1.56,0.19,0.2,0.358032,0.745911,-0.455994,-0.327881
32,0,-3.17,0,0.85,0.398376,0.715271,-0.426147,-0.384888
33,0,-3.84,-0.13,0.4,0.429443,0.686218,-0.402405,-0.42749
34,0,-6.37,0.23,0.75,0.47998,0.624451,-0.352295,-0.505554
35,0,-8.76,-0.96,-2.21,0.503113,0.581482,-0.312866,-0.557556
36,0,-4.84,-1.81,-4.73,0.521851,0.526245,-0.241821,-0.626282
37,0,3.39,12.67,-11.95,0.536011,0.489136,-0.195862,-0.659668
38,0,14.41,5.28,-7.73,0.554688,0.454407,-0.157898,-0.678894
39,0,3.55,0.63,-1.75,0.560791,0.457764,-0.161133,-0.670837
40,0,-4.41,-2.56,1.63,0.561279,0.471497,-0.179382,-0.656067
41,0,-2.53,0.99,1.39,0.559875,0.482971,-0.190796,-0.645691
42,0,-1.32,1.6,1,0.562561,0.480042,-0.188782,-0.646118
43,0,-0.34,0.52,0.07,0.564148,0.477478,-0.187622,-0.646973
44,0,-0.25,-0.83,-0.28,0.56427,0.476074,-0.190125,-0.647156
45,0,-1.6,-1.35,-0.59,0.563538,0.476562,-0.192383,-0.64679
46,0,-1.12,-0.8,-0.65,0.563049,0.47644,-0.19281,-0.647156
47,0,-0.18,-0.07,-0.66,0.562927,0.475403,-0.192505,-0.648132
48,0,0.15,0.29,-0.71,0.562195,0.475281,-0.193237,-0.648621
49,0,-0.59,-0.12,-0.39,0.559998,0.478638,-0.197388,-0.64679
50,0,-0.76,-0.36,-0.46,0.556702,0.484131,-0.203308,-0.643738
51,0,0.94,-0.06,-0.7,0.550781,0.494446,-0.213745,-0.637573
52,0,1.44,0.26,-0.6,0.541199,0.511658,-0.230591,-0.62616
53,0,3.41,0.82,-1.49,0.531982,0.526978,-0.247192,-0.61499
54,0,3.57,0.14,-2.06,0.519897,0.546265,-0.270508,-0.598389
55,0,1.66,-0.6,-3.39,0.501953,0.573242,-0.300964,-0.573486
56,0,-0.24,-0.62,-4.08,0.477234,0.607117,-0.335571,-0.53949
57,0,-1.93,-1.08,-4.53,0.44873,0.642273,-0.36969,-0.499451
58,0,-2.68,-0.77,-4.15,0.419861,0.674683,-0.40094,-0.45575
59,0,-3.94,-0.61,-3.09,0.391785,0.702881,-0.428894,-0.410461
60,0,-3.86,0.02,-1.92,0.36554,0.726257,-0.450745,-0.368347
61,0,-4.41,0.61,-0.08,0.343811,0.743774,-0.465149,-0.335022
62,0,-2.89,2.12,1.06,0.327332,0.756104,-0.474243,-0.310242
63,0,-1.72,-0.26,1.2,0.312134,0.766052,-0.479675,-0.292664
0,1,-0.71,-0.13,0.35,0.648865,0.397278,-0.0703735,-0.645142
1,1,0.42,0.06,0.38,0.643799,0.406128,-0.0776367,-0.643921
2,1,0.78,0.15,0.47,0.636108,0.419434,-0.0876465,-0.641724
3,1,0.19,0.22,-0.17,0.624329,0.439331,-0.103516,-0.637573
4,1,0.04,0.09,-0.47,0.601196,0.479248,-0.133667,-0.625305
5,1,0.5,-0.46,-0.74,0.583008,0.510315,-0.156006,-0.61261
6,1,0.56,-0.4,-1.17,0.562317,0.544617,-0.180847,-0.595398
7,1,0.77,-0.48,-1.55,0.53949,0.581055,-0.208496,-0.572571
8,1,1,-0.22,-1.95,0.513306,0.617065,-0.237366,-0.54718
9,1,0.01,-1.33,-2.2,0.481079,0.651855,-0.266968,-0.521912
10,1,0.51,-0.56,-2.03,0.443848,0.681763,-0.294739,-0.501343
11,1,0.77,1.13,-1.1,0.400879,0.706299,-0.325806,-0.48407
12,1,0.14,0.28,-0.7,0.350342,0.722595,-0.365906,-0.470398
13,1,-1.79,-0.23,-0.55,0.296631,0.7323,-0.408875,-0.456726
14,1,-1.85,0.5,0,0.252319,0.730591,-0.450073,-0.447266
15,1,-0.84,-0.89,0.04,0.218384,0.723999,-0.487549,-0.43634
16,1,-0.29,-0.79,0.1,0.18573,0.710449,-0.535767,-0.416809
17,1,0.17,-1.03,-0.1,0.172546,0.702759,-0.559326,-0.404419
18,1,-0.18,-0.61,-0.42,0.16217,0.691772,-0.5849,-0.391235
19,1,0.26,0.17,-0.69,0.155884,0.683594,-0.596313,-0.390869
20,1,-0.37,0.77,-0.79,0.148376,0.66687,-0.610962,-0.400024
21,1,-0.53,0.22,-0.57,0.144226,0.656494,-0.619812,-0.40509
22,1,0,-9.22,-1.68,0.144348,0.643616,-0.631287,-0.407898
23,1,-0.3,1.93,-1.62,0.142029,0.63623,-0.635986,-0.412964
24,1,-0.46,0.49,-1.66,0.148254,0.625793,-0.635986,-0.426514
25,1,-0.1,-0.22,-1.72,0.155823,0.622192,-0.625977,-0.443481
26,1,-0.88,-0.53,-0.95,0.174194,0.616333,-0.60321,-0.475342
27,1,-1.47,-1.03,-1.49,0.22699,0.594299,-0.534058,-0.556824
28,1,-3.25,-1.6,-2.25,0.285095,0.566895,-0.458435,-0.622253
29,1,-5.4,-2.16,-2.55,0.406555,0.499756,-0.31134,-0.698608
30,1,-3.54,-2.41,-4.07,0.491211,0.4422,-0.215393,-0.718872
31,1,6.07,5.03,-12.11,0.60022,0.365479,-0.0964355,-0.704895
32,1,7,3.1,-8.3,0.638367,0.328064,-0.0454712,-0.694885
33,1,6,1.82,-3.06,0.65625,0.316345,-0.019104,-0.684753
34,1,-0.4,-1.31,2.79,0.655701,0.336914,-0.0419312,-0.674377
35,1,-3.05,-1.57,2.6,0.653809,0.345154,-0.0509033,-0.671448
36,1,-3.04,-0.52,2.38,0.652039,0.355164,-0.0608521,-0.667053
37,1,-1.2,1.14,1.8,0.652954,0.355957,-0.0620728,-0.665649
38,1,-0.63,1.72,1.24,0.654297,0.352844,-0.0603027,-0.666138
39,1,0.09,1.03,0.58,0.655884,0.348877,-0.0578003,-0.666931
40,1,0.09,0.6,0.47,0.656311,0.348755,-0.0582886,-0.666504
41,1,-0.32,-0.66,0.59,0.656067,0.350464,-0.0609741,-0.665649
42,1,-1.55,-1.34,0.25,0.653809,0.354248,-0.0657349,-0.665344
43,1,-1.21,-1.01,0.09,0.653076,0.353943,-0.0667114,-0.666138
44,1,-0.72,-0.33,-0.19,0.652405,0.352661,-0.0670166,-0.66748
45,1,-0.5,0,-0.33,0.650574,0.352417,-0.0678101,-0.669312
46,1,-0.42,0.08,-0.11,0.645386,0.357788,-0.072998,-0.670898
47,1,-0.8,-0.26,0.03,0.64325,0.360962,-0.0758667,-0.670959
48,1,-0.91,-0.37,-0.01,0.638855,0.368286,-0.0821533,-0.670471
49,1,-0.45,-0.35,-0.14,0.630493,0.382202,-0.0923462,-0.66925
50,1,-0.07,-0.31,-0.04,0.62738,0.388,-0.0960083,-0.668335
51,1,0.98,0.08,0.24,0.613892,0.414185,-0.114807,-0.66217
52,1,0.89,0.23,-0.13,0.607788,0.42749,-0.124817,-0.657471
53,1,1.75,0.21,-0.65,0.593445,0.461548,-0.148193,-0.642517
54,1,2.79,0.69,-0.38,0.575012,0.505371,-0.179993,-0.617676
55,1,1.5,0.12,-1.56,0.543518,0.559326,-0.217529,-0.586914
56,1,-0.68,-1.11,-2.67,0.478882,0.643982,-0.28009,-0.526794
57,1,-0.54,0.08,-2.57,0.454102,0.669678,-0.2995,-0.505615
58,1,-0.86,-0.32,-2.58,0.402039,0.713684,-0.341125,-0.461121
59,1,-1.31,-0.77,-2.09,0.347595,0.747009,-0.382751,-0.417908
60,1,-1.51,0,-1.23,0.294861,0.768677,-0.421265,-0.380371
61,1,-1.89,-0.59,-0.64,0.228577,0.779419,-0.474182,-0.339783
62,1,-0.77,-0.08,0,0.210938,0.778259,-0.490173,-0.331055
63,1,-1,0.7,-0.01,0.180847,0.770081,-0.522156,-0.318726
0,2,-1.87,-1.35,-0.97,0.674683,0.576721,-0.132263,-0.441223
1,2,-3.98,-1.31,-1.44,0.668213,0.583862,-0.144775,-0.437744
2,2,-1.92,-0.96,-1.03,0.65686,0.598083,-0.154236,-0.432556
3,2,-1.53,-0.88,-1.21,0.649353,0.608215,-0.159546,-0.427795
4,2,-1.25,-1.12,-2.13,0.610718,0.658691,-0.193054,-0.394836
5,2,-1.32,-1.5,-2.11,0.599426,0.672119,-0.203186,-0.384155
6,2,-1.49,-1.08,-0.85,0.559387,0.716248,-0.234192,-0.345398
7,2,-1.32,-0.63,0.49,0.52533,0.748352,-0.254578,-0.315002
8,2,-0.55,-0.52,1.02,0.485046,0.78009,-0.274658,-0.284241
9,2,-0.29,-0.47,2.91,0.436218,0.810608,-0.296875,-0.253967
10,2,-0.08,-0.02,3.48,0.409058,0.824219,-0.309631,-0.239746
11,2,-0.22,1,2.99,0.313049,0.858459,-0.354797,-0.197998
12,2,-0.03,1.66,2.64,0.239868,0.874573,-0.384399,-0.172607
