sample,sensor,ax,ay,az,w,i,j,k
0,0,-1.75,-0.48,0.5,0.584534,0.581726,-0.284424,-0.488831
1,0,0.07,-0.67,0.32,0.582214,0.586548,-0.290039,-0.482544
2,0,0.96,-0.76,-1,0.573792,0.598328,-0.3078,-0.466919
3,0,0.42,-0.13,-1.36,0.566162,0.6073,-0.320923,-0.45575
4,0,0.13,0.19,-1.37,0.556641,0.61792,-0.335938,-0.442078
5,0,0.32,0.33,-0.64,0.546326,0.629517,-0.352173,-0.425659
6,0,0.14,-0.03,-0.42,0.527832,0.649292,-0.378174,-0.395996
7,0,-0.36,-0.15,-0.7,0.503784,0.670898,-0.406067,-0.362183
8,0,-1.33,-0.62,-0.94,0.485779,0.68512,-0.424255,-0.338562
9,0,-2.14,0.18,-0.7,0.468323,0.69751,-0.441101,-0.315552
10,0,-1.75,-0.21,-0.56,0.44519,0.712341,-0.460083,-0.287598
11,0,-0.62,0.17,0,0.43335,0.719299,-0.469421,-0.272766
12,0,-0.5,0.07,0.13,0.411804,0.731018,-0.483521,-0.249451
13,0,-0.35,-0.08,-0.19,0.403198,0.735107,-0.489258,-0.240051
14,0,-0.22,-1.28,-0.16,0.395386,0.738464,-0.494202,-0.232666
15,0,-0.34,-0.11,-0.11,0.388245,0.741211,-0.498962,-0.225769
16,0,-0.59,-0.34,-0.16,0.379822,0.744141,-0.504761,-0.217346
17,0,0.01,-0.04,-0.02,0.375793,0.7453,-0.507751,-0.213379
18,0,-0.05,-0.19,0,0.369873,0.746765,-0.512207,-0.207825
19,0,-0.12,-0.2,-0.24,0.365417,0.747681,-0.515381,-0.204529
20,0,-0.14,-0.28,-0.32,0.359863,0.748779,-0.519287,-0.200439
21,0,0.33,-0.37,-0.83,0.357117,0.749268,-0.52124,-0.198486
22,0,0.46,-0.2,-0.89,0.354309,0.749817,-0.52356,-0.19519
23,0,0.28,-0.06,-0.52,0.350952,0.751099,-0.525208,-0.192017
24,0,-0.08,0.3,-0.27,0.345642,0.75293,-0.528625,-0.184814
25,0,0.08,-0.54,-0.79,0.342407,0.754272,-0.530334,-0.180603
26,0,1.16,-0.49,-1.13,0.339172,0.756348,-0.531555,-0.174316
27,0,-0.45,-0.02,-0.59,0.336182,0.75824,-0.532837,-0.167725
28,0,-1.68,0.18,-0.3,0.329529,0.76178,-0.535156,-0.157104
29,0,0.37,-0.48,-0.6,0.327026,0.763794,-0.534912,-0.153442
30,0,-0.69,0.05,0.29,0.325439,0.767395,-0.532471,-0.147217
31,0,-4.95,0.63,3.23,0.328064,0.76825,-0.529114,-0.148865
32,0,-8.74,1.36,6.25,0.347534,0.762756,-0.517212,-0.173035
33,0,-11.7,0.76,5.77,0.426208,0.722778,-0.469482,-0.274841
34,0,-17.46,-2.55,-3.43,0.494385,0.665771,-0.407349,-0.382629
35,0,0.57,-4.32,-22.85,0.603394,0.492432,-0.16864,-0.604065
36,0,13.99,7,-16.8,0.624146,0.449524,-0.114685,-0.628662
37,0,20.14,5.09,-7.11,0.63031,0.45343,-0.120789,-0.618469
38,0,-2.02,-2.47,0,0.626526,0.497375,-0.178345,-0.572937
39,0,-7.52,-0.72,1.89,0.620422,0.519226,-0.201721,-0.552063
40,0,-5.97,0.45,2,0.615662,0.534302,-0.216125,-0.537354
