sample,sensor,ax,ay,az,w,i,j,k
0,0,-13.62,4.42,8.52,0.653381,0.572266,-0.37207,-0.327393
1,0,-0.61,-2.08,13.26,0.638,0.592224,-0.386047,-0.305298
2,0,-5.82,-0.37,8.33,0.637085,0.593384,-0.38324,-0.308472
3,0,-5.86,0.55,-1.05,0.665466,0.562134,-0.339111,-0.355286
4,0,12.1,-1.63,-8.73,0.689575,0.531921,-0.299561,-0.389648
5,0,12.02,0,-6.67,0.701965,0.517029,-0.28186,-0.400574
6,0,-0.78,0.2,-1.22,0.699036,0.524902,-0.293335,-0.386963
7,0,-5.01,0.25,1.69,0.689819,0.539368,-0.315308,-0.365845
8,0,-5.36,0.13,3.32,0.683472,0.547424,-0.330322,-0.352173
9,0,-4.21,0.35,2.92,0.683594,0.54657,-0.333435,-0.350464
10,0,-2.15,0.43,1.72,0.689026,0.538818,-0.326477,-0.358215
11,0,-1.29,0.5,0.15,0.696777,0.527832,-0.31366,-0.37085
12,0,-1.29,0.55,-0.61,0.705261,0.51532,-0.297302,-0.385559
13,0,-0.36,0.38,-1.15,0.714233,0.501526,-0.278381,-0.401062
14,0,0.08,-0.23,-1.25,0.723083,0.487183,-0.258606,-0.415833
15,0,0.58,-0.73,-1.33,0.730896,0.473633,-0.239319,-0.429138
16,0,1.13,-0.99,-1.16,0.73761,0.461548,-0.221924,-0.440063
17,0,0.36,-0.73,-0.98,0.742615,0.452087,-0.207886,-0.448242
18,0,-0.5,-0.56,-0.72,0.74646,0.44458,-0.19696,-0.454224
19,0,-1.25,-0.28,-0.66,0.749756,0.438232,-0.186707,-0.459351
20,0,-0.78,-0.21,-0.48,0.753784,0.43042,-0.174622,-0.464783
21,0,0.3,-0.38,-0.19,0.758606,0.421082,-0.160645,-0.470581
22,0,1.43,-0.12,-1.54,0.762146,0.41272,-0.145203,-0.477173
23,0,0.23,-0.06,-0.67,0.765259,0.406799,-0.1297,-0.48175
24,0,0.34,0.2,0.6,0.769592,0.399536,-0.119141,-0.483643
25,0,0.25,-0.09,1.02,0.773438,0.393188,-0.110229,-0.484863
26,0,-0.52,-0.04,0.6,0.776489,0.387756,-0.1026,-0.485962
27,0,-0.67,0.24,0.44,0.778992,0.382996,-0.0963135,-0.487061
28,0,-0.59,0.07,0.88,0.781494,0.377441,-0.0900269,-0.488586
29,0,-1.26,-0.09,0.96,0.783508,0.371094,-0.0799561,-0.491943
30,0,-1.4,-0.14,1.85,0.78418,0.367065,-0.0720825,-0.495117
31,0,7.13,1.25,-1.14,0.786926,0.354492,-0.062561,-0.50116
32,0,17.39,0.74,-2.45,0.783997,0.359497,-0.0896606,-0.498047
33,0,11.88,-7.06,-14.52,0.764771,0.40448,-0.172668,-0.470886
34,0,-6.52,-6.45,-28.3,0.716614,0.483948,-0.29071,-0.409607
35,0,-17.2,0,-16.96,0.644287,0.565063,-0.396545,-0.329102
36,0,-17.58,8.53,12.87,0.581238,0.620789,-0.45813,-0.258606
37,0,-5.49,5.65,22.65,0.544189,0.649902,-0.480896,-0.223999
38,0,-11.75,2.83,8.94,0.540222,0.652527,-0.475769,-0.236694
39,0,-7.42,-0.06,-2.7,0.573059,0.628357,-0.439209,-0.289734
