sample,sensor,ax,ay,az,w,i,j,k
0,0,5.34,-7.03,-3.17,0.547607,0.707764,-0.269836,-0.35553
1,0,5.23,-2.68,-6.13,0.557983,0.692932,-0.257141,-0.377319
2,0,5.05,-2.41,-6.37,0.562195,0.687073,-0.254211,-0.383728
3,0,0.98,-0.44,-3.26,0.563293,0.688293,-0.260193,-0.375793
4,0,-3.47,0.21,-1.73,0.562683,0.692627,-0.27063,-0.361145
5,0,-5.3,0.18,-1.01,0.565125,0.692932,-0.276428,-0.352295
6,0,-4.22,-0.07,-0.68,0.57373,0.686096,-0.272522,-0.354736
7,0,-2.22,-1.05,-0.05,0.587036,0.673462,-0.26001,-0.366455
8,0,-1.59,-1.21,-0.01,0.602417,0.657043,-0.242126,-0.383118
9,0,-2.58,-0.95,-0.2,0.617432,0.638977,-0.221558,-0.401733
10,0,-2.97,-0.96,-0.77,0.631836,0.618652,-0.198059,-0.422913
11,0,-2.58,-0.96,-1.36,0.646179,0.59491,-0.170776,-0.446533
12,0,-1.94,-1.12,-1.9,0.658569,0.569824,-0.140991,-0.470825
13,0,-2.31,-1.68,-1.51,0.668518,0.545227,-0.110535,-0.49353
14,0,-0.62,-1.37,-1.9,0.673279,0.525879,-0.0775146,-0.513916
15,0,-1.82,-2.69,-1.3,0.678833,0.507629,-0.0498047,-0.528198
16,0,0.19,-1.4,-0.71,0.682861,0.49292,-0.0250854,-0.538635
17,0,0.42,-1.09,-0.73,0.687134,0.480652,-0.00598145,-0.5448
18,0,0.54,-0.74,-0.23,0.691223,0.471558,0.00817871,-0.547485
19,0,0.1,-0.09,0,0.695496,0.466248,0.0159302,-0.546509
20,0,-0.57,-0.4,0.58,0.699219,0.464844,0.0186157,-0.542786
21,0,-1.36,1.06,0.14,0.703064,0.463318,0.0184937,-0.539185
22,0,-1.61,0.16,0.08,0.707153,0.460205,0.019104,-0.536438
23,0,-1.52,-0.39,0.05,0.710876,0.457275,0.0211792,-0.533997
24,0,-2.05,-0.46,0.94,0.712036,0.458679,0.0216064,-0.531189
25,0,-3.73,-0.66,1.67,0.713257,0.456421,0.0249023,-0.531311
26,0,-3.34,-0.62,1.96,0.712769,0.450684,0.0332642,-0.536377
27,0,-2.14,-0.21,2.27,0.711731,0.444946,0.0413208,-0.541992
28,0,-2.11,0.02,2.38,0.705811,0.439697,0.0509033,-0.553101
29,0,-0.76,1.25,3.07,0.700928,0.435425,0.0568848,-0.562012
30,0,17.71,2.86,-5.34,0.688538,0.435242,0.0457764,-0.578308
31,0,23.09,-0.26,-10.75,0.684998,0.460815,-0.00183105,-0.56427
32,0,7.45,-7.55,-24.92,0.674194,0.519531,-0.0904541,-0.51709
33,0,-10.31,-7.89,-31.87,0.639832,0.606323,-0.206726,-0.424561
34,0,-24.79,-4.19,-15.32,0.579285,0.686646,-0.310913,-0.310242
35,0,-31.12,3.49,0.32,0.527527,0.731873,-0.374939,-0.213257
36,0,-10.58,3.93,13.42,0.486511,0.757812,-0.403992,-0.160767
37,0,-5.58,-1.19,11.81,0.469177,0.766968,-0.41095,-0.151062
38,0,-6.71,-1.52,2.34,0.47937,0.761475,-0.398254,-0.178223
39,0,-2.8,-2.07,-3.25,0.51178,0.740967,-0.366211,-0.234497
40,0,8.01,-2.43,-8.19,0.546265,0.712097,-0.327759,-0.294983
41,0,11.12,-2.13,-7.97,0.568481,0.689148,-0.301453,-0.333252
42,0,6.92,-1.65,-6.9,0.575439,0.68219,-0.296692,-0.339722
43,0,-1.89,-0.92,-4.1,0.572266,0.687561,-0.30835,-0.323608
44,0,-4.65,-0.57,-2.34,0.566223,0.695618,-0.323486,-0.301392
45,0,-4.35,-0.35,-0.12,0.563477,0.700378,-0.332947,-0.284851
46,0,-2.87,-0.36,0.86,0.565552,0.700806,-0.335083,-0.277039
47,0,-2.06,-1.33,0.25,0.574036,0.695557,-0.332153,-0.276306
48,0,-2,-0.51,0.01,0.582458,0.689819,-0.324219,-0.28241
49,0,-3.63,-0.55,-0.7,0.592896,0.681946,-0.312256,-0.293091
50,0,-4.02,-0.45,-1.16,0.613281,0.663696,-0.283325,-0.321045
51,0,-1.79,-1.12,-1.07,0.630371,0.644653,-0.255371,-0.34906
52,0,-0.53,-1.74,-0.79,0.647766,0.621277,-0.223633,-0.380066
53,0,-2.26,-1.2,-1.17,0.661987,0.597473,-0.191528,-0.409973
54,0,-3.68,-1.38,-2.86,0.673279,0.573181,-0.157349,-0.439758
55,0,-3.17,-1.11,-2.14,0.682312,0.547974,-0.118225,-0.469299
56,0,-1.45,-1.31,-2.15,0.69104,0.519897,-0.0783081,-0.496033
57,0,-0.51,-2.08,-2.32,0.697021,0.493164,-0.0386353,-0.519043
58,0,2.71,-0.36,-2.49,0.7005,0.470764,-0.00360107,-0.536316
59,0,1.5,-0.46,-1.51,0.703613,0.456055,0.0215454,-0.544434
60,0,0.82,-0.02,-1.25,0.706543,0.447449,0.0367432,-0.546997
61,0,1.78,-0.21,-0.52,0.710571,0.440002,0.0464478,-0.547058
62,0,-0.67,-0.19,0.66,0.717407,0.431702,0.0543823,-0.544067
63,0,-3.05,-0.53,1.07,0.720947,0.429565,0.0578613,-0.54071
0,1,5.4,-1.56,-2.38,0.438843,0.665588,-0.215332,-0.563965
1,1,5.88,-0.58,-2.93,0.446777,0.652283,-0.197876,-0.579468
2,1,2.02,0.65,-1.81,0.450195,0.653442,-0.205261,-0.572937
3,1,-2.05,0.05,-0.72,0.447021,0.660156,-0.22406,-0.560486
4,1,-3.72,-0.05,-0.6,0.445068,0.660095,-0.245483,-0.553101
5,1,-3.15,0.33,-0.48,0.448914,0.64502,-0.246643,-0.567078
6,1,-1.38,-1.97,0.34,0.459534,0.620728,-0.238953,-0.588623
7,1,-1.56,-1.74,0.67,0.465942,0.607361,-0.230103,-0.600891
8,1,-1.19,0.01,0.83,0.48407,0.580811,-0.205811,-0.621277
9,1,-1.47,0.13,0.73,0.516174,0.53949,-0.14978,-0.648132
10,1,-1.66,-0.55,0.68,0.539978,0.507324,-0.104004,-0.663452
11,1,-2.16,-0.07,0.56,0.56366,0.472046,-0.0534058,-0.67572
12,1,0.13,-0.24,0.17,0.585571,0.434937,-0.000671387,-0.684082
13,1,-0.67,-1.11,-0.02,0.596985,0.415588,0.0236206,-0.685791
14,1,0.71,-2,0.92,0.628845,0.361389,0.0876465,-0.6828
15,1,2.3,0.55,1.04,0.650513,0.330505,0.116211,-0.673889
16,1,1.94,-0.73,1.55,0.660034,0.318359,0.125488,-0.668762
17,1,1.63,0.46,1.18,0.689392,0.289551,0.138367,-0.649475
18,1,0.62,1.48,1.54,0.698486,0.282288,0.139954,-0.642578
19,1,0.27,0.87,2.16,0.725159,0.264709,0.141174,-0.619751
20,1,0.26,0.49,2.23,0.743713,0.256836,0.141296,-0.600769
21,1,-0.75,1.18,2.22,0.75238,0.253967,0.140442,-0.59137
22,1,-0.93,0.82,2.08,0.77063,0.249451,0.142517,-0.568848
23,1,-0.26,1.2,2.61,0.774414,0.248047,0.144653,-0.563782
24,1,-0.95,1.34,3.42,0.782776,0.242798,0.150879,-0.552795
25,1,-1.03,1.21,3.41,0.787537,0.23761,0.156128,-0.546753
26,1,-0.98,1.55,3.57,0.794861,0.220337,0.173767,-0.537964
27,1,-0.01,2.03,3.84,0.796143,0.216003,0.179382,-0.536072
28,1,0.5,2.33,4.99,0.800476,0.201233,0.19696,-0.529114
29,1,5.05,4.32,2.93,0.801941,0.196594,0.205627,-0.525269
30,1,11.49,3.27,-0.07,0.805969,0.19928,0.200867,-0.519897
31,1,11.24,0.44,-4.65,0.809448,0.232666,0.153259,-0.516907
32,1,-0.98,-3.58,-10.62,0.785767,0.337463,0.0598755,-0.514893
33,1,-7.39,-5.24,-13.77,0.719116,0.490417,-0.0593872,-0.488708
34,1,-11.41,-5.46,-6.87,0.608154,0.630188,-0.180725,-0.447571
35,1,-5.19,-0.34,0.09,0.487976,0.720215,-0.284851,-0.402588
36,1,-5.96,-0.8,5.78,0.400085,0.759277,-0.370544,-0.355164
37,1,-4.19,-1.37,4.96,0.361267,0.77478,-0.414185,-0.3125
38,1,-0.78,-0.99,1.45,0.361572,0.771362,-0.407104,-0.329529
39,1,2.91,-1.73,-2.09,0.390381,0.747742,-0.366089,-0.393066
40,1,5.61,-0.04,-2.92,0.42749,0.710815,-0.315918,-0.460571
41,1,6.09,1.28,-2.38,0.456299,0.677856,-0.278564,-0.5047
42,1,4.34,1.32,-2.13,0.46936,0.662659,-0.265564,-0.519653
43,1,-0.51,-0.36,-1.71,0.468262,0.66394,-0.27594,-0.51355
44,1,-3.29,-0.64,-1.11,0.459351,0.671509,-0.300171,-0.497986
45,1,-3.92,-0.84,-0.68,0.44989,0.67395,-0.324951,-0.48761
46,1,-3.15,-1.33,0.41,0.446228,0.668945,-0.34259,-0.48584
47,1,-6.51,-4.15,0.27,0.450134,0.661438,-0.347717,-0.488831
48,1,-3.49,-0.04,0.47,0.460205,0.652649,-0.339905,-0.496704
49,1,-2.86,-0.08,0.5,0.476135,0.642456,-0.322632,-0.506409
50,1,-2.66,-0.14,0.6,0.494202,0.628052,-0.29834,-0.521851
