sample,sensor,ax,ay,az,w,i,j,k
0,0,-1.88,-10.37,-13.43,0.610291,0.640015,-0.0734253,-0.460999
1,0,-25.81,-7.07,-4.2,0.579163,0.709106,-0.153809,-0.371643
2,0,-37.51,11.89,10.34,0.540833,0.754272,-0.198242,-0.315002
3,0,-8.87,13.67,8.93,0.529663,0.756531,-0.189026,-0.333801
4,0,19.78,-6.82,-0.78,0.52948,0.741333,-0.166321,-0.37738
5,0,-3.31,-3.63,-5.56,0.525696,0.730042,-0.151733,-0.409424
6,0,-0.32,-3.52,-8.62,0.527344,0.713196,-0.13501,-0.441589
7,0,10.13,-4.63,-8.94,0.52887,0.701782,-0.12146,-0.461548
8,0,6.62,-4.96,-6.38,0.526184,0.707397,-0.122803,-0.455688
9,0,-2.22,-1.46,-1.11,0.523315,0.71936,-0.132324,-0.437256
10,0,-3.43,-0.52,-0.19,0.523804,0.723816,-0.137451,-0.427612
11,0,-0.59,-0.74,-1.24,0.529419,0.717896,-0.13446,-0.431519
12,0,-1.16,-1.2,-2.02,0.536743,0.708252,-0.127502,-0.440491
13,0,0.33,-0.68,-2.67,0.544861,0.697998,-0.118103,-0.449402
14,0,0.31,-0.14,-2.01,0.55481,0.689514,-0.106689,-0.453186
15,0,-1.03,-0.69,-0.82,0.560242,0.686646,-0.100952,-0.452148
16,0,-0.04,-1.55,-0.44,0.567871,0.6828,-0.0924072,-0.450317
17,0,-1,-1.42,-0.06,0.57196,0.681458,-0.0877686,-0.44812
18,0,-1.58,-1.22,-0.19,0.577759,0.677856,-0.0794067,-0.447693
19,0,-1.27,-0.96,-1.62,0.582336,0.672791,-0.0704346,-0.450867
20,0,-0.43,-0.76,-1.18,0.588074,0.66571,-0.0593262,-0.455566
21,0,-1.16,-0.83,0.14,0.596313,0.654419,-0.0424805,-0.463013
22,0,-1.9,-3.27,0.63,0.600708,0.646362,-0.0307007,-0.469482
23,0,-1.45,0.13,-0.55,0.603088,0.635742,-0.00909424,-0.481689
24,0,-1.79,-3,-1.05,0.607727,0.622375,0.0126343,-0.493103
25,0,-0.7,-1.66,-1.03,0.612,0.611206,0.0289917,-0.500977
26,0,-0.08,-0.88,-0.72,0.617065,0.596985,0.0526123,-0.51001
27,0,0.36,-0.41,-0.07,0.620422,0.589722,0.0638428,-0.513062
28,0,0.48,-1.74,0.19,0.624756,0.582764,0.0760498,-0.514099
29,0,-0.3,-1.24,-0.2,0.62854,0.578491,0.0799561,-0.513672
30,0,-1.04,-0.52,-0.16,0.633362,0.573608,0.0860596,-0.512268
31,0,-1.04,-0.48,0.02,0.636353,0.570557,0.0895386,-0.511353
32,0,-0.62,-1,0.11,0.640198,0.566711,0.0936279,-0.510132
33,0,-0.84,-1,0.16,0.642212,0.565002,0.0950928,-0.509155
34,0,-1.06,-0.86,0.36,0.645569,0.562866,0.0940552,-0.507507
35,0,-1.31,-0.69,0.44,0.646667,0.562073,0.0940552,-0.507019
36,0,-1.04,-0.28,0.65,0.647095,0.561646,0.0930786,-0.507141
37,0,-1.46,-0.65,1.3,0.646484,0.561951,0.092041,-0.50769
38,0,-0.89,0.14,0.99,0.64325,0.563782,0.0888062,-0.510376
39,0,4.5,1.5,-4.23,0.641235,0.564575,0.0845337,-0.512756
40,0,9.58,-1.6,-7.35,0.644226,0.570984,0.059021,-0.505432
41,0,-15.79,-6.76,1.83,0.645203,0.591797,0.0199585,-0.482788
42,0,-24.74,-3.88,10.3,0.639282,0.619629,-0.0196533,-0.455017
43,0,3.11,6.29,1,0.616882,0.640015,-0.0330811,-0.456848
44,0,3.98,-0.76,-1.99,0.594788,0.650818,-0.0410767,-0.470093
45,0,0.95,2.04,-3.82,0.58197,0.663391,-0.0471802,-0.468018
46,0,2.84,-2.27,-3.28,0.571167,0.672852,-0.0512085,-0.467346
47,0,1.42,-3.76,-1.65,0.567688,0.677246,-0.0521851,-0.465149
48,0,-0.01,-3.79,-1.08,0.563049,0.683533,-0.0567017,-0.460999
49,0,1.2,-2.62,-1.28,0.562073,0.683716,-0.0579834,-0.461853
50,0,-0.23,-0.64,-1.59,0.564148,0.684265,-0.06427,-0.457642
51,0,-1.08,0.13,-0.67,0.56781,0.685059,-0.0702515,-0.450928
52,0,-0.65,-1.35,-0.52,0.572998,0.677856,-0.0699463,-0.455322
53,0,-0.36,-1.23,-0.34,0.574646,0.674866,-0.0687866,-0.457886
54,0,-0.66,-0.96,-0.23,0.576111,0.67218,-0.0682373,-0.460083
55,0,-0.59,-0.88,-0.41,0.577942,0.668091,-0.0673828,-0.463745
56,0,-0.95,-0.91,-0.69,0.579041,0.664673,-0.0661011,-0.467529
57,0,-0.79,-1.34,-0.98,0.581177,0.657898,-0.0621948,-0.474854
58,0,-1.4,-1.56,-1,0.583008,0.65271,-0.0582275,-0.480347
59,0,-2.42,-4.3,-0.73,0.583435,0.645142,-0.0474243,-0.491089
60,0,-0.73,-1.64,-1.24,0.585083,0.639771,-0.039917,-0.496765
61,0,-2.21,-1.21,-1.11,0.590393,0.628845,-0.0272217,-0.505188
62,0,-1.23,-1.24,-1.28,0.594116,0.620972,-0.0164795,-0.511047
63,0,-1.5,-2.19,-1.41,0.600952,0.60675,0.000976562,-0.520325
0,1,1.9,2.73,-4.24,0.27832,0.685303,-0.229187,-0.632751
1,1,4.78,0.24,-5.21,0.272156,0.667297,-0.174683,-0.670898
2,1,7.61,1.85,-5.15,0.271912,0.65802,-0.159302,-0.683838
3,1,7.32,0.92,-3.16,0.274536,0.657715,-0.161743,-0.682556
4,1,1.99,-0.76,-1.39,0.272949,0.672546,-0.186096,-0.662231
5,1,-1.36,-1.03,-0.16,0.271912,0.676941,-0.200134,-0.654053
6,1,-1.74,-0.61,-0.6,0.277344,0.669189,-0.198059,-0.660339
7,1,-1.44,-0.24,-0.62,0.286621,0.656128,-0.183655,-0.673523
8,1,-1.16,0.21,-0.25,0.296814,0.643188,-0.166443,-0.685974
9,1,-1.27,0.08,0.8,0.307129,0.633057,-0.152405,-0.694031
10,1,-1.48,-0.25,1.33,0.324707,0.625183,-0.137329,-0.69635
11,1,-0.95,-1.44,1.3,0.337585,0.620544,-0.12616,-0.696472
12,1,-0.26,-1.72,1.68,0.36084,0.613953,-0.104309,-0.694275
13,1,-1.37,-0.89,1.2,0.378967,0.609436,-0.0866089,-0.690979
14,1,-1.58,-0.12,0.98,0.409058,0.596558,-0.0536499,-0.688416
15,1,-0.48,0.64,1.2,0.427124,0.583618,-0.0308838,-0.68988
16,1,-0.29,-0.37,1.94,0.444092,0.570007,-0.00787354,-0.691223
17,1,-0.61,-0.51,1.93,0.472534,0.547852,0.029541,-0.689758
18,1,1.53,1.08,1.61,0.494812,0.529541,0.0577393,-0.686584
19,1,-0.08,-1.26,1.19,0.52533,0.503296,0.102051,-0.678467
20,1,0.42,0.22,1.7,0.552917,0.475586,0.1427,-0.669128
21,1,0.5,1.02,1.98,0.569885,0.456543,0.164978,-0.663025
22,1,1.29,0.79,2.32,0.594788,0.43158,0.19104,-0.650757
23,1,1.08,0.87,2.51,0.612,0.419006,0.202454,-0.639465
24,1,0.78,4.3,2.95,0.638489,0.406616,0.214294,-0.61731
25,1,0.03,1.28,2.21,0.654236,0.402283,0.216187,-0.602844
26,1,-0.18,2.12,2.94,0.675781,0.396118,0.21698,-0.582581
27,1,-0.21,1.34,2.62,0.687378,0.392334,0.215942,-0.571838
28,1,-0.3,1.22,2.49,0.701477,0.387512,0.21582,-0.557861
29,1,-0.6,1.18,2.41,0.708923,0.385376,0.215637,-0.549927
30,1,-0.64,1.49,2.76,0.717041,0.383972,0.214844,-0.540649
31,1,-0.59,0.12,2.23,0.721863,0.383423,0.213928,-0.534912
32,1,-0.54,1.68,3.63,0.729675,0.379883,0.210999,-0.527954
33,1,-0.25,1.95,3.82,0.732727,0.380554,0.210571,-0.523438
34,1,3.14,2.34,2.06,0.736877,0.381287,0.211121,-0.516785
35,1,1.4,3.69,2.33,0.730347,0.394714,0.192627,-0.523132
36,1,-9.17,3.41,7.89,0.64624,0.472351,0.128601,-0.585388
37,1,-11.28,-3.72,9.11,0.552979,0.52832,0.0858154,-0.63855
38,1,-6.32,1.41,4.11,0.474426,0.555481,0.0315552,-0.682129
39,1,1.25,5.66,-1.73,0.395203,0.572876,-0.0462036,-0.716614
40,1,2.86,3.81,-3.08,0.346619,0.592102,-0.0874023,-0.722229
41,1,2.73,1.67,-2.22,0.330872,0.598145,-0.101501,-0.722778
42,1,2.6,-1.87,-1.13,0.317932,0.604431,-0.11676,-0.721069
43,1,1.48,-2.89,-0.36,0.312683,0.608459,-0.124939,-0.718628
44,1,1.46,-1.76,-0.37,0.306824,0.607422,-0.132446,-0.720642
45,1,0.91,-0.76,0.08,0.304871,0.603699,-0.136108,-0.723877
46,1,0.12,-0.27,0.48,0.305237,0.601501,-0.141052,-0.72467
47,1,-1.27,-0.04,1.31,0.308899,0.600708,-0.152588,-0.721375
48,1,-1.8,-0.24,1.6,0.310303,0.600525,-0.156006,-0.720215
49,1,-1.8,-0.79,1.57,0.31488,0.598633,-0.16156,-0.718567
50,1,-1.59,-1.23,1.48,0.316345,0.59729,-0.161438,-0.719116
51,1,-1.46,-1.53,1.34,0.319336,0.593506,-0.158691,-0.721497
52,1,-1.22,-1.98,0.77,0.322998,0.588379,-0.153198,-0.725281
53,1,-0.61,-1.81,1,0.328003,0.58136,-0.144836,-0.730408
54,1,-0.43,-1.78,1.37,0.340515,0.570801,-0.126038,-0.73645
55,1,-0.55,-0.73,1.09,0.346436,0.567871,-0.117859,-0.737305
56,1,-0.72,-0.55,1.11,0.368774,0.558655,-0.0888062,-0.73761
57,1,-0.62,-0.77,0.76,0.38739,0.550293,-0.0673218,-0.736633
58,1,-0.83,-0.01,0.76,0.420654,0.534668,-0.0320435,-0.732239
59,1,-0.95,-0.12,0.71,0.443787,0.523865,-0.00598145,-0.727051
60,1,-0.01,2.31,0.44,0.481018,0.504272,0.0313721,-0.716492
61,1,-0.44,-0.79,0.8,0.502258,0.494995,0.053833,-0.707031
62,1,0.09,-0.25,1.07,0.534424,0.476868,0.0830078,-0.692932
63,1,-0.49,0.36,1.3,0.555786,0.463928,0.0985718,-0.682739
0,2,4.03,10.42,1.03,0.0852661,0.85791,-0.342957,-0.373047
1,2,12.87,15.11,10.42,0.0979004,0.86438,-0.270752,-0.412231
2,2,13.89,13.53,11.85,0.106445,0.862366,-0.239136,-0.43335
3,2,6.56,10.23,9.02,0.106262,0.859009,-0.256409,-0.430115
4,2,1.01,2.37,-1.92,0.0916748,0.856628,-0.290527,-0.416382
5,2,0.32,1.36,-4.33,0.0869141,0.8526,-0.30835,-0.412842
6,2,1.66,2.27,-3.37,0.0986938,0.848572,-0.304871,-0.421082
7,2,0.77,3.08,-2.01,0.120361,0.845215,-0.290527,-0.432129
8,2,1,4.23,0.89,0.143066,0.84259,-0.272827,-0.441711
9,2,1.71,3.96,1.65,0.162476,0.841003,-0.259277,-0.446228
10,2,0.5,2.2,-0.18,0.189575,0.839233,-0.253357,-0.4422
11,2,2.09,1.56,0,0.210938,0.837952,-0.248352,-0.437805
12,2,1.1,2.41,-1.15,0.251404,0.838623,-0.235107,-0.422241
13,2,2.01,2.92,-1.21,0.286072,0.83783,-0.221802,-0.408691
14,2,0.77,4.49,0.85,0.35144,0.829956,-0.191895,-0.388428
15,2,1.15,4.52,0.88,0.397705,0.819092,-0.168762,-0.37738
16,2,2.63,3.83,-0.2,0.442444,0.805115,-0.145935,-0.367065
17,2,2.76,3.71,-0.98,0.511841,0.777405,-0.110291,-0.348511
18,2,2.98,3.08,-1.57,0.559631,0.754761,-0.0837402,-0.331909
19,2,2.57,4.15,-0.02,0.629578,0.715271,-0.0403442,-0.300598
20,2,3.03,4.55,1.26,0.695496,0.667786,0.00201416,-0.26532
21,2,2.64,4.19,1.12,0.733459,0.634094,0.0227661,-0.243774
22,2,2.15,2.85,-0.43,0.779358,0.587036,0.041626,-0.215088
23,2,1.25,2.66,-0.68,0.803589,0.559937,0.0487671,-0.19574
24,2,1.33,2.96,-0.52,0.833008,0.525879,0.0568848,-0.162231
25,2,0.41,2.36,0.43,0.848877,0.506287,0.0592041,-0.140015
26,2,0.2,1.46,0.29,0.866943,0.482117,0.057373,-0.112671
27,2,0.31,1.26,0.66,0.875427,0.469666,0.0567017,-0.0992432
28,2,0.04,0.79,0.76,0.884521,0.455444,0.0582886,-0.0823364
29,2,0.38,0.94,0.91,0.888428,0.449097,0.06073,-0.0726318
30,2,0.5,0.81,0.82,0.892212,0.442932,0.0629272,-0.0620117
31,2,0.15,0.77,0.27,0.893677,0.440613,0.0621948,-0.0574341
32,2,0.24,1.27,0.53,0.893555,0.441284,0.0628052,-0.0533447
33,2,-3.18,2.43,2.43,0.891785,0.44458,0.0638428,-0.0540161
34,2,-10.03,2.52,19.53,0.872375,0.478516,0.0571289,-0.0817261
35,2,-18.81,5.55,20.44,0.838379,0.532288,0.0246582,-0.114746
36,2,-16.17,21.91,5.71,0.717285,0.667969,-0.0467529,-0.192749
37,2,9.58,28.03,-6.32,0.598633,0.75592,-0.069397,-0.255798
38,2,6.26,6.61,-14.55,0.414917,0.828979,-0.122314,-0.354492
39,2,1.45,10.16,-12.08,0.328735,0.848022,-0.174255,-0.377441
40,2,9.67,11.76,-4.04,0.243408,0.858704,-0.193909,-0.407227
41,2,5.97,8.26,-1.88,0.211975,0.859314,-0.201965,-0.419312
42,2,5.94,4.67,2.06,0.184326,0.856628,-0.21167,-0.432861
43,2,3.91,2.33,1.5,0.171143,0.855164,-0.221069,-0.436523
44,2,3.64,3.08,1.25,0.162048,0.851013,-0.228271,-0.444275
45,2,3.22,4.11,1.69,0.16156,0.847778,-0.229492,-0.450012
46,2,0.79,3.48,0.79,0.164001,0.843323,-0.236145,-0.454041
47,2,-0.65,2.96,0.49,0.166748,0.840332,-0.24469,-0.454041
48,2,-1.03,1.77,-0.29,0.169922,0.837402,-0.252075,-0.454224
49,2,-1.38,1.35,-0.36,0.174988,0.834534,-0.256531,-0.455139
50,2,0.56,1.39,0.26,0.181335,0.832153,-0.255005,-0.457764
51,2,1.52,1.43,0.16,0.190796,0.830383,-0.249268,-0.460327
52,2,2.61,1.85,-0.08,0.205139,0.828064,-0.242249,-0.462158
53,2,3.66,1.91,-0.61,0.22467,0.825134,-0.234436,-0.46228
54,2,3.18,2.2,-1.45,0.253906,0.821228,-0.225342,-0.458679
55,2,3.3,2.96,-1.56,0.29248,0.815125,-0.213135,-0.452271
56,2,2.49,3.47,-1.62,0.359558,0.803589,-0.186462,-0.436157
57,2,2.39,4.08,-1.7,0.411011,0.791321,-0.163025,-0.422302
58,2,2.73,4.27,-1.66,0.485718,0.767944,-0.124451,-0.398499
